source ID,source name,source type,mapping type,target ID,target name,target type,mapping description
,Active Directory Credential Request,datacomponent,detects,T1550.003,Pass the Ticket,technique,"Monitor requests of new ticket granting ticket or service tickets to a Domain Controller. Event ID 4769 is generated on the Domain Controller when using a golden ticket after the KRBTGT password has been reset twice, as mentioned in the mitigation section. The status code 0x1F indicates the action has failed due to ""Integrity check on decrypted field failed"" and indicates misuse by a previously invalidated golden ticket.(Citation: CERT-EU Golden Ticket Protection)"
,Active Directory Credential Request,datacomponent,detects,T1649,Steal or Forge Authentication Certificates,technique,"Monitor AD CS certificate requests (ex: EID 4886) as well as issued certificates (ex: EID 4887) for abnormal activity, including unexpected certificate enrollments and signs of abuse within certificate attributes (such as abusable EKUs).(Citation: SpecterOps Certified Pre Owned)"
,Active Directory Credential Request,datacomponent,detects,T1558,Steal or Forge Kerberos Tickets,technique,"Monitor for anomalous Kerberos activity, such as malformed or blank fields in Windows logon/logoff events (Event ID 4624, 4672, 4634), RC4 encryption within ticket granting tickets (TGTs), and ticket granting service (TGS) requests without preceding TGT requests.(Citation: ADSecurity Detecting Forged Tickets)(Citation: Stealthbits Detect PtT 2019)(Citation: CERT-EU Golden Ticket Protection)Monitor the lifetime of TGT tickets for values that differ from the default domain duration.(Citation: Microsoft Kerberos Golden Ticket) Monitor for indications of [Pass the Ticket](https://attack.mitre.org/techniques/T1550/003) being used to move laterally."
,Active Directory Credential Request,datacomponent,detects,T1550,Use Alternate Authentication Material,technique,"Monitor requests of new ticket granting ticket or service tickets to a Domain Controller, such as Windows EID 4769 or 4768, that may use alternate authentication material, such as password hashes, Kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls."
,Active Directory Object Access,datacomponent,detects,T1003.006,DCSync,technique,Monitor domain controller logs for replication requests and other unscheduled activity possibly associated with DCSync.(Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft GetNCCChanges) (Citation: Samba DRSUAPI) Note: Domain controllers may not log replication requests originating from the default domain controller account.(Citation: Harmj0y DCSync Sept 2015)
,Active Directory Object Access,datacomponent,detects,T1615,Group Policy Discovery,technique,Monitor for abnormal LDAP queries with filters for <code>groupPolicyContainer</code> and high volumes of LDAP traffic to domain controllers. Windows Event ID 4661 can also be used to detect when a directory service has been accessed.
,Active Directory Object Access,datacomponent,detects,T1003,OS Credential Dumping,technique,Monitor domain controller logs for replication requests and other unscheduled activity possibly associated with DCSync. (Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft GetNCCChanges) (Citation: Samba DRSUAPI) Note: Domain controllers may not log replication requests originating from the default domain controller account. (Citation: Harmj0y DCSync Sept 2015). Monitor for replication requests (Citation: Microsoft SAMR) from IPs not associated with known domain controllers. (Citation: AdSecurity DCSync Sept 2015)
,Active Directory Object Access,datacomponent,detects,T1033,System Owner/User Discovery,technique,Monitor domain controller logs for replication requests and other unscheduled activity possibly associated with DCSync. (Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft GetNCCChanges) (Citation: Samba DRSUAPI) Note: Domain controllers may not log replication requests originating from the default domain controller account. (Citation: Harmj0y DCSync Sept 2015). Monitor for replication requests (Citation: Microsoft SAMR) from IPs not associated with known domain controllers. (Citation: AdSecurity DCSync Sept 2015)
,Active Directory Object Creation,datacomponent,detects,T1098.005,Device Registration,technique,Monitor for the registration or joining of new device objects in Active Directory.
,Active Directory Object Creation,datacomponent,detects,T1484,Domain Policy Modification,technique,"Monitor for newly constructed active directory objects, such as Windows EID 5137."
,Active Directory Object Creation,datacomponent,detects,T1484.002,Domain Trust Modification,technique,"Monitor for newly constructed active directory objects, such as Windows EID 5137."
,Active Directory Object Creation,datacomponent,detects,T1484.001,Group Policy Modification,technique,"Monitor for newly constructed active directory objects, such as Windows EID 5137."
,Active Directory Object Creation,datacomponent,detects,T1207,Rogue Domain Controller,technique,Baseline and periodically analyze the Configuration partition of the AD schema and alert on creation of nTDSDSA objects.(Citation: DCShadow Blog)
,Active Directory Object Deletion,datacomponent,detects,T1484,Domain Policy Modification,technique,"Monitor for unexpected deletion of an active directory object, such as Windows EID 5141."
,Active Directory Object Deletion,datacomponent,detects,T1484.001,Group Policy Modification,technique,"Monitor for unexpected deletion of an active directory object, such as Windows EID 5141."
,Active Directory Object Modification,datacomponent,detects,T1134,Access Token Manipulation,technique,Monitor for changes made to AD settings that may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.
,Active Directory Object Modification,datacomponent,detects,T1531,Account Access Removal,technique,"Monitor for changes made to AD settings for unexpected modifications to user accounts, such as deletions or potentially malicious changes to user attributes (credentials, status, etc.)."
,Active Directory Object Modification,datacomponent,detects,T1098,Account Manipulation,technique,Monitor for changes to Azure Activity Logs for unexpected modifications to Service Principals and Applications.
,Active Directory Object Modification,datacomponent,detects,T1098.001,Additional Cloud Credentials,technique,Monitor for changes to Azure Activity Logs for Service Principal and Application modifications.
,Active Directory Object Modification,datacomponent,detects,T1037,Boot or Logon Initialization Scripts,technique,Monitor for changes made in the Active Directory that may use scripts automatically executed at boot or logon initialization to establish persistence.
,Active Directory Object Modification,datacomponent,detects,T1484,Domain Policy Modification,technique,"Monitor for changes made to AD settings for unexpected modifications to user accounts, such as deletions or potentially malicious changes to user attributes (credentials, status, etc.)."
,Active Directory Object Modification,datacomponent,detects,T1484.002,Domain Trust Modification,technique,"Monitor for changes made to AD settings for unexpected modifications to domain trust settings, such as when a user or application modifies the federation settings on the domain."
,Active Directory Object Modification,datacomponent,detects,T1222,File and Directory Permissions Modification,technique,"Monitor for changes made to ACLs and file/directory ownership. Many of the commands used to modify ACLs and file/directory ownership are built-in system utilities and may generate a high false positive alert rate, so compare against baseline knowledge for how systems are typically used and correlate modification events with other indications of malicious activity where possible."
,Active Directory Object Modification,datacomponent,detects,T1484.001,Group Policy Modification,technique,"Monitor for changes made to AD settings for unexpected modifications to user accounts, such as deletions or potentially malicious changes to user attributes (credentials, status, etc.)."
,Active Directory Object Modification,datacomponent,detects,T1556,Modify Authentication Process,technique,"Monitor for changes made to AD security settings related to MFA logon requirements, such as changes to Azure AD Conditional Access Policies or the registration of new MFA applications."
,Active Directory Object Modification,datacomponent,detects,T1556.006,Multi-Factor Authentication,technique,"Monitor for changes made to AD security settings related to MFA logon requirements, such as changes to Azure AD Conditional Access Policies or the registration of new MFA applications. "
,Active Directory Object Modification,datacomponent,detects,T1037.003,Network Logon Script,technique,Monitor for changes made in the Active Directory that may use network logon scripts automatically executed at logon initialization to establish persistence.
,Active Directory Object Modification,datacomponent,detects,T1556.005,Reversible Encryption,technique,"Monitor property changes in Group Policy: <code>Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy\Store passwords using reversible encryption</code>. By default, the property should be set to Disabled."
,Active Directory Object Modification,datacomponent,detects,T1207,Rogue Domain Controller,technique,Leverage AD directory synchronization (DirSync) to monitor changes to directory state using AD replication cookies.(Citation: Microsoft DirSync) (Citation: ADDSecurity DCShadow Feb 2018) Also consider monitoring and alerting on the replication of AD objects (Audit Detailed Directory Service Replication Events 4928 and 4929). (Citation: DCShadow Blog)
,Active Directory Object Modification,datacomponent,detects,T1134.005,SID-History Injection,technique,Monitor for changes to account management events on Domain Controllers for successful and failed changes to SID-History. (Citation: AdSecurity SID History Sept 2015) (Citation: Microsoft DsAddSidHistory)
,Active Directory Object Modification,datacomponent,detects,T1649,Steal or Forge Authentication Certificates,technique,"Monitor for changes to CA attributes and settings, such as AD CS certificate template modifications (ex: EID 4899/4900 once a potentially malicious certificate is enrolled).(Citation: SpecterOps Certified Pre Owned)"
,Active Directory Object Modification,datacomponent,detects,T1222.001,Windows File and Directory Permissions Modification,technique,"Monitor for changes made to DACLs and file/directory ownership. Many of the commands used to modify DACLs and file/directory ownership are built-in system utilities and may generate a high false positive alert rate, so compare against baseline knowledge for how systems are typically used and correlate modification events with other indications of malicious activity where possible."
,Application Log Content,datacomponent,detects,T1098.002,Additional Email Delegate Permissions,technique,"Enable the UpdateFolderPermissions action for all logon types. The mailbox audit log will forward folder permission modification events to the Unified Audit Log. Create rules to alert on ModifyFolderPermissions operations where the Anonymous or Default user is assigned permissions other than None._x000D_
_x000D_
A larger than normal volume of emails sent from an account and similar phishing emails sent from real accounts within a network may be a sign that an account was compromised and attempts to leverage access with modified email permissions is occurring."
,Application Log Content,datacomponent,detects,T1557,Adversary-in-the-Middle,technique,Monitor application logs for changes to settings and other events associated with network protocols and other services commonly abused for AiTM.(Citation: dhcp_serv_op_events)
,Application Log Content,datacomponent,detects,T1499.003,Application Exhaustion Flood,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may target resource intensive features of web applications to cause a denial of service (DoS). In addition to network level detections, endpoint logging and instrumentation can be useful for detection. Attacks targeting web applications may generate logs in the web server, application server, and/or database server that can be used to identify the type of attack, possibly before the impact is felt. Externally monitor the availability of services that may be targeted by an Endpoint DoS."
,Application Log Content,datacomponent,detects,T1499.004,Application or System Exploitation,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users. (Citation: Sucuri BIND9 August 2015) Attacks targeting web applications may generate logs in the web server, application server, and/or database server that can be used to identify the type of attack. Externally monitor the availability of services that may be targeted by an Endpoint DoS."
,Application Log Content,datacomponent,detects,T1110,Brute Force,technique,"Monitor authentication logs for system and application login failures of [Valid Accounts](https://attack.mitre.org/techniques/T1078). If authentication failures are high, then there may be a brute force attempt to gain access to a system using legitimate credentials."
,Application Log Content,datacomponent,detects,T1069.003,Cloud Groups,technique,Monitor for events collected that may attempt to find cloud groups and permission settings. 
,Application Log Content,datacomponent,detects,T1213.003,Code Repositories,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may leverage code repositories to collect valuable information. Monitor access to code repositories, especially performed by privileged users such as Active Directory Domain or Enterprise Administrators as these types of accounts should generally not be used to access code repositories. In environments with high-maturity, it may be possible to leverage User-Behavioral Analytics (UBA) platforms to detect and alert on user-based anomalies."
,Application Log Content,datacomponent,detects,T1213.001,Confluence,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may leverage Confluence repositories to mine valuable information. Watch for access to Confluence repositories performed by privileged users (for example, Active Directory Domain, Enterprise, or Schema Administrators) as these types of accounts should generally not be used to access information repositories. If the capability exists, it may be of value to monitor and alert on users that are retrieving and viewing a large number of documents and pages; this behavior may be indicative of programmatic means being used to retrieve all data within the repository. In environments with high-maturity, it may be possible to leverage User-Behavioral Analytics (UBA) platforms to detect and alert on user based anomalies."
,Application Log Content,datacomponent,detects,T1110.004,Credential Stuffing,technique,"Monitor authentication logs for system and application login failures of [Valid Accounts](https://attack.mitre.org/techniques/T1078). If authentication failures are high, then there may be a brute force attempt to gain access to a system using legitimate credentials."
,Application Log Content,datacomponent,detects,T1557.003,DHCP Spoofing,technique,"Monitor Windows logs (ex: EIDs 1341, 1342, 1020, and 1063) for changes to DHCP settings. These may also highlight DHCP issues such as when IP allocations are low or have run out.(Citation: dhcp_serv_op_events)(Citation: solution_monitor_dhcp_scopes)"
,Application Log Content,datacomponent,detects,T1213,Data from Information Repositories,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may leverage information repositories to mine valuable information. Information repositories generally have a considerably large user base, detection of malicious use can be non-trivial. At minimum, access to information repositories performed by privileged users (for example, Active Directory Domain, Enterprise, or Schema Administrators) should be closely monitored and alerted upon, as these types of accounts should generally not be used to access information repositories. If the capability exists, it may be of value to monitor and alert on users that are retrieving and viewing a large number of documents and pages; this behavior may be indicative of programmatic means being used to retrieve all data within the repository. In environments with high-maturity, it may be possible to leverage User-Behavioral Analytics (UBA) platforms to detect and alert on user based anomalies."
,Application Log Content,datacomponent,detects,T1622,Debugger Evasion,technique,Monitor debugger logs for signs of abnormal and potentially malicious activity.
,Application Log Content,datacomponent,detects,T1491,Defacement,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may modify visual content available internally or externally to an enterprise network. "
,Application Log Content,datacomponent,detects,T1610,Deploy Container,technique,Configuration management databases (CMDB) and other asset management systems may help with the detection of computer systems or network devices that should not exist on a network.
,Application Log Content,datacomponent,detects,T1098.005,Device Registration,technique,"
Azure AD creates several log entries when new devices are enrolled, which can be monitored for unexpected device registrations.(Citation: AADInternals - BPRT) Additionally, joined devices can be viewed via the Azure AD portal.(Citation: Microsoft Manage Device Identities)"
,Application Log Content,datacomponent,detects,T1562.002,Disable Windows Event Logging,technique,"Monitor for third-party application logging, messaging, and/or other artifacts provided by third-party services that may disable Windows event logging to limit data that can be leveraged for detections and audits."
,Application Log Content,datacomponent,detects,T1189,Drive-by Compromise,technique,"Firewalls and proxies can inspect URLs for potentially known-bad domains or parameters. They can also do reputation-based analytics on websites and their requested resources such as how old a domain is, who it's registered to, if it's on a known bad list, or how many other users have connected to it before."
,Application Log Content,datacomponent,detects,T1114,Email Collection,technique,"Detection is challenging because all messages forwarded because of an auto-forwarding rule have the same presentation as a manually forwarded message. It is also possible for the user to not be aware of the addition of such an auto-forwarding rule and not suspect that their account has been compromised; email-forwarding rules alone will not affect the normal usage patterns or operations of the email account. Auto-forwarded messages generally contain specific detectable artifacts that may be present in the header; such artifacts would be platform-specific. Examples include <code>X-MS-Exchange-Organization-AutoForwarded</code> set to true, <code>X-MailFwdBy</code> and <code>X-Forwarded-To</code>. The <code>forwardingSMTPAddress</code> parameter used in a forwarding process that is managed by administrators and not by user actions. All messages for the mailbox are forwarded to the specified SMTP address. However, unlike typical client-side rules, the message does not appear as forwarded in the mailbox; it appears as if it were sent directly to the specified destination mailbox.(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2) High volumes of emails that bear the <code>X-MS-Exchange-Organization-AutoForwarded</code> header (indicating auto-forwarding) without a corresponding number of emails that match the appearance of a forwarded message may indicate that further investigation is needed at the administrator level rather than user-level."
,Application Log Content,datacomponent,detects,T1114.003,Email Forwarding Rule,technique,"Detection is challenging because all messages forwarded because of an auto-forwarding rule have the same presentation as a manually forwarded message. It is also possible for the user to not be aware of the addition of such an auto-forwarding rule and not suspect that their account has been compromised; email-forwarding rules alone will not affect the normal usage patterns or operations of the email account. This is especially true in cases with hidden auto-forwarding rules. This makes it only possible to reliably detect the existence of a hidden auto-forwarding rule by examining message tracking logs or by using a MAPI editor to notice the modified rule property values.(Citation: Pfammatter - Hidden Inbox Rules)
Auto-forwarded messages generally contain specific detectable artifacts that may be present in the header; such artifacts would be platform-specific. Examples include X-MS-Exchange-Organization-AutoForwarded set to true, X-MailFwdBy and X-Forwarded-To. The forwardingSMTPAddress parameter used in a forwarding process that is managed by administrators and not by user actions. All messages for the mailbox are forwarded to the specified SMTP address. However, unlike typical client-side rules, the message does not appear as forwarded in the mailbox; it appears as if it were sent directly to the specified destination mailbox.(Citation: Microsoft Tim McMichael Exchange Mail Forwarding 2) High volumes of emails that bear the X-MS-Exchange-Organization-AutoForwarded header (indicating auto-forwarding) without a corresponding number of emails that match the appearance of a forwarded message may indicate that further investigation is needed at the administrator level rather than user-level."
,Application Log Content,datacomponent,detects,T1564.008,Email Hiding Rules,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may use email rules to hide inbound emails in a compromised user's mailbox. Monitor email clients and applications for suspicious activity, such as missing messages or abnormal configuration and/or log entries."
,Application Log Content,datacomponent,detects,T1499,Endpoint Denial of Service,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users. In addition to network level detections, endpoint logging and instrumentation can be useful for detection. Attacks targeting web applications may generate logs in the web server, application server, and/or database server that can be used to identify the type of attack, possibly before the impact is felt. Externally monitor the availability of services that may be targeted by an Endpoint DoS."
,Application Log Content,datacomponent,detects,T1190,Exploit Public-Facing Application,technique,Detecting software exploitation may be difficult depending on the tools available. Software exploits may not always succeed or may cause the exploited process to become unstable or crash. Web Application Firewalls may detect improper inputs attempting exploitation.
,Application Log Content,datacomponent,detects,T1203,Exploitation for Client Execution,technique,Detecting software exploitation may be difficult depending on the tools available. Software exploits may not always succeed or may cause the exploited process to become unstable or crash.
,Application Log Content,datacomponent,detects,T1212,Exploitation for Credential Access,technique,Detecting software exploitation may be difficult depending on the tools available. Software exploits may not always succeed or may cause the exploited process to become unstable or crash.
,Application Log Content,datacomponent,detects,T1211,Exploitation for Defense Evasion,technique,Exploitation for defense evasion may happen shortly after the system has been compromised to prevent detection during later actions for for additional tools that may be brought in and used. Detecting software exploitation may be difficult depending on the tools available. Software exploits may not always succeed or may cause the exploited process to become unstable or crash. 
,Application Log Content,datacomponent,detects,T1210,Exploitation of Remote Services,technique,Detecting software exploitation may be difficult depending on the tools available. Software exploits may not always succeed or may cause the exploited process to become unstable or crash. Web Application Firewalls may detect improper inputs attempting exploitation.
,Application Log Content,datacomponent,detects,T1491.002,External Defacement,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users. "
,Application Log Content,datacomponent,detects,T1133,External Remote Services,technique,"When authentication is not required to access an exposed remote service, monitor for follow-on activities such as anomalous external use of the exposed API or application."
,Application Log Content,datacomponent,detects,T1200,Hardware Additions,technique,Configuration management databases (CMDB) and other asset management systems may help with the detection of computer systems or network devices that should not exist on a network.
,Application Log Content,datacomponent,detects,T1564,Hide Artifacts,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may attempt to hide artifacts associated with their behaviors to evade detection. "
,Application Log Content,datacomponent,detects,T1556.007,Hybrid Identity,technique,"Enable security auditing to collect logs from hybrid identity solutions. For example, monitor sign-ins to the Azure AD Application Proxy Connector, which are typically generated only when a new PTA Agent is added. (Citation: Mandiant Azure AD Backdoors) If AD FS is in use, review the logs for event ID 501, which specifies all EKU attributes on a claim, and raise alerts on any values that are not configured in your environment.(Citation: MagicWeb)"
,Application Log Content,datacomponent,detects,T1027.005,Indicator Removal from Tools,technique,"The first detection of a malicious tool may trigger an anti-virus or other security tool alert. Similar events may also occur at the boundary through network IDS, email scanning appliance, etc. The initial detection should be treated as an indication of a potentially more invasive intrusion. The alerting system should be thoroughly investigated beyond that initial alert for activity that was not detected. Adversaries may continue with an operation, assuming that individual events like an anti-virus detect will not be investigated or that an analyst will not be able to conclusively link that event to other activity occurring on the network."
,Application Log Content,datacomponent,detects,T1491.001,Internal Defacement,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may deface systems internal to an organization in an attempt to intimidate or mislead users. "
,Application Log Content,datacomponent,detects,T1534,Internal Spearphishing,technique,"Monitor email gateways usually do not scan internal email, but an organization can leverage the journaling-based solution which sends a copy of emails to a security service for offline analysis or incorporate service-integrated solutions using on-premise or API-based integrations to help detect internal spearphishing attacks.(Citation: Trend Micro When Phishing Starts from the Inside 2017)"
,Application Log Content,datacomponent,detects,T1204.003,Malicious Image,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may rely on a user running a malicious image to facilitate execution."
,Application Log Content,datacomponent,detects,T1556,Modify Authentication Process,technique,"Enable security auditing to collect logs from hybrid identity solutions. For example, monitor sign-ins to the Azure AD Application Proxy Connector, which are typically generated only when a new Pass Through Authentication (PTA) Agent is added. (Citation: Mandiant Azure AD Backdoors) If AD FS is in use, review the logs for event ID 501, which specifies all EKU attributes on a claim, and raise alerts on any values that are not configured in your environment.(Citation: MagicWeb)"
,Application Log Content,datacomponent,detects,T1621,Multi-Factor Authentication Request Generation,technique,Monitor application logs for suspicious events including repeated MFA failures that may indicate user's primary credentials have been compromised.
,Application Log Content,datacomponent,detects,T1137,Office Application Startup,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may leverage Microsoft Office-based applications for persistence between startups. SensePost, whose tool [Ruler](https://attack.mitre.org/software/S0358) can be used to carry out malicious rules, forms, and Home Page attacks, has released a tool to detect Ruler usage.(Citation: SensePost NotRuler)"
,Application Log Content,datacomponent,detects,T1137.003,Outlook Forms,technique," Monitor for third-party application logging, messaging, and/or other artifacts that may abuse Microsoft Outlook forms to obtain persistence on a compromised system. SensePost, whose tool [Ruler](https://attack.mitre.org/software/S0358) can be used to carry out malicious rules, forms, and Home Page attacks, has released a tool to detect Ruler usage.(Citation: SensePost NotRuler)"
,Application Log Content,datacomponent,detects,T1137.004,Outlook Home Page,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may abuse Microsoft Outlook's Home Page feature to obtain persistence on a compromised system. SensePost, whose tool [Ruler](https://attack.mitre.org/software/S0358) can be used to carry out malicious rules, forms, and Home Page attacks, has released a tool to detect Ruler usage.(Citation: SensePost NotRuler)"
,Application Log Content,datacomponent,detects,T1137.005,Outlook Rules,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may abuse Microsoft Outlook rules to obtain persistence on a compromised system. SensePost, whose tool [Ruler](https://attack.mitre.org/software/S0358) can be used to carry out malicious rules, forms, and Home Page attacks, has released a tool to detect Ruler usage.(Citation: SensePost NotRuler)"
,Application Log Content,datacomponent,detects,T1110.002,Password Cracking,technique,"Monitor authentication logs for system and application login failures of [Valid Accounts](https://attack.mitre.org/techniques/T1078). It is difficult to detect when hashes are cracked, since this is generally done outside the scope of the target network. Consider focusing efforts on detecting other adversary behavior used to acquire credential materials, such as [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) or [Kerberoasting](https://attack.mitre.org/techniques/T1558/003)."
,Application Log Content,datacomponent,detects,T1110.001,Password Guessing,technique,"Monitor authentication logs for system and application login failures of [Valid Accounts](https://attack.mitre.org/techniques/T1078). If authentication failures are high, then there may be a brute force attempt to gain access to a system using legitimate credentials."
,Application Log Content,datacomponent,detects,T1110.003,Password Spraying,technique,"Monitor authentication logs for system and application login failures of [Valid Accounts](https://attack.mitre.org/techniques/T1078). Consider the following event IDs:(Citation: Trimarc Detecting Password Spraying)
Domain Controllers: ""Audit Logon"" (Success & Failure) for event ID 4625.
Domain Controllers: ""Audit Kerberos Authentication Service"" (Success & Failure) for event ID 4771.
All systems: ""Audit Logon"" (Success & Failure) for event ID 4648."
,Application Log Content,datacomponent,detects,T1069,Permission Groups Discovery,technique,"Monitor for logging, messaging, and other artifacts provided by cloud services."
,Application Log Content,datacomponent,detects,T1566,Phishing,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may send phishing messages to gain access to victim systems. Filtering based on DKIM+SPF or header analysis can help detect when the email sender is spoofed.(Citation: Microsoft Anti Spoofing)(Citation: ACSC Email Spoofing) URL inspection within email (including expanding shortened links) can help detect links leading to known malicious sites. Detonation chambers can be used to detect these links and either automatically go to these sites to determine if they're potentially malicious, or wait and capture the content if a user visits the link."
,Application Log Content,datacomponent,detects,T1598,Phishing for Information,technique,"Depending on the specific method of phishing, the detections can vary. Monitor for suspicious email activity, such as numerous accounts receiving messages from a single unusual/unknown sender. Filtering based on DKIM+SPF or header analysis can help detect when the email sender is spoofed.(Citation: Microsoft Anti Spoofing)(Citation: ACSC Email Spoofing)
When it comes to following links, monitor for references to uncategorized or known-bad sites. URL inspection within email (including expanding shortened links) can also help detect links leading to known malicious sites.
Monitor social media traffic for suspicious activity, including messages requesting information as well as abnormal file or data transfers (especially those involving unknown, or otherwise suspicious accounts)."
,Application Log Content,datacomponent,detects,T1505.001,SQL Stored Procedures,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may abuse SQL stored procedures to establish persistent access to systems. On a MSSQL Server, consider monitoring for xp_cmdshell usage.(Citation: NetSPI Startup Stored Procedures) Consider enabling audit features that can log malicious startup activities."
,Application Log Content,datacomponent,detects,T1594,Search Victim-Owned Websites,technique,"Monitor for suspicious network traffic that could be indicative of adversary reconnaissance, such as rapid successions of requests indicative of web crawling and/or large quantities of requests originating from a single source (especially if the source is known to be associated with an adversary). Analyzing web metadata may also reveal artifacts that can be attributed to potentially malicious activity, such as referer or user-agent string HTTP/S fields."
,Application Log Content,datacomponent,detects,T1505,Server Software Component,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may abuse legitimate extensible development features of servers to establish persistent access to systems. Consider monitoring application logs for abnormal behavior that may indicate suspicious installation of application software components. Log authentication attempts to the server and any unusual traffic patterns to or from the server and internal network. (Citation: US-CERT Alert TA15-314A Web Shells)"
,Application Log Content,datacomponent,detects,T1648,Serverless Execution,technique,"Monitor logs generated by serverless execution for unusual activity. For example, in Exchange environments emails sent by Power Automate via the Outlook 365 connector include the phrase ‘Power App’ or ‘Power Automate’ in the SMTP header 'x-ms-mail-application.'(Citation: Power Automate Email Exfiltration Controls)"
,Application Log Content,datacomponent,detects,T1499.002,Service Exhaustion Flood,technique,"Monitor for third-party application logging, messaging, and/or other artifacts that may target the different network services provided by systems to conduct a DoS. In addition to network level detections, endpoint logging and instrumentation can be useful for detection. Attacks targeting web applications may generate logs in the web server, application server, and/or database server that can be used to identify the type of attack, possibly before the impact is felt. Externally monitor the availability of services that may be targeted by an Endpoint DoS."
