name,ID,description,collection layers,platforms,created,modified,type,version,url,contributors
Drive,DS0016,"A non-volatile data storage device (hard drive, floppy disk, USB flash drive) with at least one formatted partition, typically mounted to the file system and/or assigned a drive letter(Citation: Sysmon EID 9)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0016,Center for Threat-Informed Defense (CTID)
Drive: Drive Access,,Opening of a data storage device with an assigned drive letter or mount point,,,20 October 2021,,datacomponent,1.0,,
Drive: Drive Creation,,Initial construction of a drive letter or mount point to a data storage device,,,20 October 2021,,datacomponent,1.0,,
Drive: Drive Modification,,Changes made to a drive letter or mount point of a data storage device,,,20 October 2021,,datacomponent,1.0,,
Driver,DS0027,"A computer program that operates or controls a particular type of device that is attached to a computer. Provides a software interface to hardware devices, enabling operating systems and other computer programs to access hardware functions without needing to know precise details about the hardware being used(Citation: IOKit Fundamentals)(Citation: Windows Getting Started Drivers)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0027,Center for Threat-Informed Defense (CTID)
Driver: Driver Load,,Attaching a driver to either user or kernel-mode of a system (ex: Sysmon EID 6),,,20 October 2021,,datacomponent,1.0,,
Driver: Driver Metadata,,"Contextual data about a driver and activity around it such as driver issues reporting or integrity (page hash, code) checking",,,20 October 2021,,datacomponent,1.0,,
File,DS0022,"A computer resource object, managed by the I/O system, for storing data (such as images, text, videos, computer programs, or any wide variety of other media).(Citation: Microsoft File Mgmt)",Host,"Linux, Network, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/data-sources/DS0022,Center for Threat-Informed Defense (CTID)
File: File Access,,"Opening a file, which makes the file contents available to the requestor (ex: Windows EID 4663)",,,20 October 2021,,datacomponent,1.0,,
File: File Creation,,Initial construction of a new file (ex: Sysmon EID 11),,,20 October 2021,,datacomponent,1.0,,
File: File Deletion,,"Removal of a file (ex: Sysmon EID 23, macOS ESF EID ES_EVENT_TYPE_AUTH_UNLINK, or Linux commands auditd unlink, rename, rmdir, unlinked, or renameat rules)",,,20 October 2021,,datacomponent,1.0,,
File: File Metadata,,"Contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc.",,,20 October 2021,,datacomponent,1.0,,
File: File Modification,,"Changes made to a file, or its access permissions and attributes, typically to alter the contents of the targeted file (ex: Windows EID 4670 or Sysmon EID 2)",,,20 October 2021,,datacomponent,1.0,,
Firewall,DS0018,"A network security system, running locally on an endpoint or remotely as a service (ex: cloud environment), that monitors and controls incoming/outgoing network traffic based on predefined rules(Citation: AWS Sec Groups VPC)","Cloud Control Plane, Host","Azure AD, Google Workspace, IaaS, Linux, Office 365, SaaS, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0018,Center for Threat-Informed Defense (CTID)
Firewall: Firewall Disable,,Deactivation or stoppage of a cloud service (ex: Write/Delete entries within Azure Firewall Activity Logs),,,20 October 2021,,datacomponent,1.0,,
Firewall: Firewall Enumeration,,An extracted list of available firewalls and/or their associated settings/rules (ex: Azure Network Firewall CLI Show commands),,,20 October 2021,,datacomponent,1.0,,
Firewall: Firewall Metadata,,"Contextual data about a firewall and activity around it such as name, policy, or status",,,20 October 2021,,datacomponent,1.0,,
Firewall: Firewall Rule Modification,,"Changes made to a firewall rule, typically to allow/block specific network traffic (ex: Windows EID 4950 or Write/Delete entries within Azure Firewall Rule Collection Activity Logs)",,,20 October 2021,,datacomponent,1.0,,
Firmware,DS0001,"Computer software that provides low-level control for the hardware and device(s) of a host, such as BIOS or UEFI/EFI",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0001,Center for Threat-Informed Defense (CTID)
Firmware: Firmware Modification,,"Changes made to firmware, including its settings and/or data, such as MBR (Master Boot Record) and VBR (Volume Boot Record)",,,20 October 2021,,datacomponent,1.0,,
Group,DS0036,A collection of multiple user accounts that share the same access rights to the computer and/or network resources and have common security rights(Citation: Amazon IAM Groups),"Cloud Control Plane, Host","Azure AD, Google Workspace, IaaS, Office 365, SaaS, Windows",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0036,Center for Threat-Informed Defense (CTID)
Group: Group Enumeration,,An extracted list of available groups and/or their associated settings (ex: AWS list-groups),,,20 October 2021,,datacomponent,1.0,,
Group: Group Metadata,,"Contextual data about a group which describes group and activity around it, such as name, permissions, or user accounts within the group",,,20 October 2021,,datacomponent,1.0,,
Group: Group Modification,,"Changes made to a group, such as membership, name, or permissions (ex: Windows EID 4728 or 4732, AWS IAM UpdateGroup)",,,20 October 2021,,datacomponent,1.0,,
Image,DS0007,A single file used to deploy a virtual machine/bootable disk into an on-premise or third-party cloud environment(Citation: Microsoft Image)(Citation: Amazon AMI),Cloud Control Plane,IaaS,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0007,Center for Threat-Informed Defense (CTID)
Image: Image Creation,,Initial construction of a virtual machine image (ex: Azure Compute Service Images PUT),,,20 October 2021,,datacomponent,1.0,,
Image: Image Deletion,,Removal of a virtual machine image (ex: Azure Compute Service Images DELETE),,,20 October 2021,,datacomponent,1.0,,
Image: Image Metadata,,"Contextual data about a virtual machine image such as name, resource group, state, or type",,,20 October 2021,,datacomponent,1.0,,
Image: Image Modification,,"Changes made to a virtual machine image, including setting and/or control data (ex: Azure Compute Service Images PATCH)",,,20 October 2021,,datacomponent,1.0,,
Instance,DS0030,"A virtual server environment which runs workloads, hosted on-premise or by third-party cloud providers(Citation: Amazon VM)(Citation: Google VM)",Cloud Control Plane,IaaS,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0030,
Instance: Instance Creation,,Initial construction of a new instance (ex: instance.insert within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,,
Instance: Instance Deletion,,Removal of an instance (ex: instance.delete within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,,
Instance: Instance Enumeration,,An extracted list of instances within a cloud environment (ex: instance.list within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,,
Instance: Instance Metadata,,"Contextual data about an instance and activity around it such as name, type, or status",,,20 October 2021,,datacomponent,1.0,,
Instance: Instance Modification,,"Changes made to an instance, including its settings and/or control data (ex: instance.addResourcePolicies or instances.setMetadata within GCP Audit Logs)",,,20 October 2021,,datacomponent,1.0,,
Instance: Instance Start,,Activation or invocation of an instance (ex: instance.start within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,,
Instance: Instance Stop,,Deactivation or stoppage of an instance (ex: instance.stop within GCP Audit Logs),,,20 October 2021,,datacomponent,1.0,,
Internet Scan,DS0035,Information obtained (commonly via active network traffic probes or web crawling) regarding various types of resources and servers connected to the public Internet,OSINT,PRE,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0035,
Internet Scan: Response Content,,Logged network traffic in response to a scan showing both protocol header and body values,,,20 October 2021,,datacomponent,1.0,,
Internet Scan: Response Metadata,,"Contextual data about an Internet-facing resource gathered from a scan, such as running services or ports",,,20 October 2021,,datacomponent,1.0,,
Kernel,DS0008,"A computer program, at the core of a computer OS, that resides in memory and facilitates interactions between hardware and software components(Citation: STIG Audit Kernel Modules)(Citation: Init Man Page)",Host,"Linux, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0008,Center for Threat-Informed Defense (CTID)
Kernel: Kernel Module Load,,"An object file that contains code to extend the running kernel of an OS, typically used to add support for new hardware (as device drivers) and/or filesystems, or for adding system calls",,,20 October 2021,,datacomponent,1.0,,
Logon Session,DS0028,"Logon occurring on a system or resource (local, domain, or cloud) to which a user/device is gaining access after successful authentication and authorization(Citation: Microsoft Audit Logon Events)","Cloud Control Plane, Host, Network","Azure AD, Google Workspace, IaaS, Linux, Office 365, SaaS, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0028,Center for Threat-Informed Defense (CTID)
Logon Session: Logon Session Creation,,"Initial construction of a successful new user logon following an authentication attempt. (e.g. Windows EID 4624, /var/log/utmp, or /var/log/wmtp)",,,20 October 2021,,datacomponent,1.1,,
Logon Session: Logon Session Metadata,,"Contextual data about a logon session, such as username, logon type, access tokens (security context, user SIDs, logon identifiers, and logon SID), and any activity associated within it",,,20 October 2021,,datacomponent,1.0,,
Malware Repository,DS0004,"Information obtained (via shared or submitted samples) regarding malicious software (droppers, backdoors, etc.) used by adversaries",OSINT,PRE,20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0004,
Malware Repository: Malware Content,,"Code, strings, and other signatures that compromise a malicious payload",,,20 October 2021,,datacomponent,1.1,,
Malware Repository: Malware Metadata,,"Contextual data about a malicious payload, such as compilation times, file hashes, as well as watermarks or other identifiable configuration information",,,20 October 2021,,datacomponent,1.1,,
Module,DS0011,"Executable files consisting of one or more shared classes and interfaces, such as portable executable (PE) format binaries/dynamic link libraries (DLL), executable and linkable format (ELF) binaries/shared libraries, and Mach-O format binaries/shared libraries(Citation: Microsoft LoadLibrary)(Citation: Microsoft Module Class)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0011,Center for Threat-Informed Defense (CTID)
Module: Module Load,,"Attaching a module into the memory of a process/program, typically to access shared resources/features provided by the module (ex: Sysmon EID 7)",,,20 October 2021,,datacomponent,1.0,,
Named Pipe,DS0023,Mechanisms that allow inter-process communication locally or over the network. A named pipe is usually found as a file and processes attach to it(Citation: Microsoft Named Pipes),Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0023,Center for Threat-Informed Defense (CTID)
Named Pipe: Named Pipe Metadata,,"Contextual data about a named pipe on a system, including pipe name and creating process (ex: Sysmon EIDs 17-18)",,,20 October 2021,,datacomponent,1.0,,
Network Share,DS0033,"A storage resource (typically a folder or drive) made available from one host to others using network protocols, such as Server Message Block (SMB) or Network File System (NFS)(Citation: Microsoft NFS Overview)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0033,Center for Threat-Informed Defense (CTID)
Network Share: Network Share Access,,"Opening a network share, which makes the contents available to the requestor (ex: Windows EID 5140 or 5145)",,,20 October 2021,,datacomponent,1.0,,
Network Traffic,DS0029,"Data transmitted across a network (ex: Web, DNS, Mail, File, etc.), that is either summarized (ex: Netflow) and/or captured as raw data in an analyzable format (ex: PCAP)","Cloud Control Plane, Host, Network","IaaS, Linux, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0029,Center for Threat-Informed Defense (CTID); ExtraHop
Network Traffic: Network Connection Creation,,"Initial construction of a network connection, such as capturing socket information with a source/destination IP and port(s) (ex: Windows EID 5156, Sysmon EID 3, or Zeek conn.log)",,,20 October 2021,,datacomponent,1.1,,
Network Traffic: Network Traffic Content,,Logged network traffic data showing both protocol header and body values (ex: PCAP),,,20 October 2021,,datacomponent,1.0,,
Network Traffic: Network Traffic Flow,,"Summarized network packet data, with metrics, such as protocol headers and volume (ex: Netflow or Zeek http.log)",,,20 October 2021,,datacomponent,1.0,,
Persona,DS0021,A malicious online profile representing a user commonly used by adversaries to social engineer or otherwise target victims,OSINT,PRE,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0021,
Persona: Social Media,,"Established, compromised, or otherwise acquired social media personas",,,20 October 2021,,datacomponent,1.0,,
Pod,DS0014,"A single unit of shared resources within a cluster, comprised of one or more containers(Citation: Kube Kubectl)(Citation: Kube Pod)",Container,Containers,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0014,Center for Threat-Informed Defense (CTID)
Pod: Pod Creation,,Initial construction of a new pod (ex: kubectl apply|run),,,20 October 2021,,datacomponent,1.0,,
Pod: Pod Enumeration,,An extracted list of pods within a cluster (ex: kubectl get pods),,,20 October 2021,,datacomponent,1.0,,
Pod: Pod Metadata,,"Contextual data about a pod and activity around it such as name, ID, namespace, or status",,,20 October 2021,,datacomponent,1.0,,
Pod: Pod Modification,,"Changes made to a pod, including its settings and/or control data (ex: kubectl set|patch|edit)",,,20 October 2021,,datacomponent,1.0,,
Process,DS0009,"Instances of computer programs that are being executed by at least one thread. Processes have memory space for process executables, loaded modules (DLLs or shared libraries), and allocated memory regions containing everything from user input to application-specific data structures(Citation: Microsoft Processes and Threads)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0009,Center for Threat-Informed Defense (CTID)
Process: OS API Execution,,"Initial construction of a WMI object, such as a filter, consumer, subscription, binding, or provider (ex: Sysmon EIDs 19-21)",,,20 October 2021,,datacomponent,1.0,,
Process: Process Access,,"Opening of a process by another process, typically to read memory of the target process (ex: Sysmon EID 10)",,,20 October 2021,,datacomponent,1.0,,
Process: Process Creation,,"The initial construction of an executable managed by the OS, that may involve one or more tasks or threads. (e.g. Win EID 4688, Sysmon EID 1, cmd.exe > net use, etc.)",,,20 October 2021,,datacomponent,1.1,,
Process: Process Metadata,,"Contextual data about a running process, which may include information such as environment variables, image name, user/owner, etc.",,,20 October 2021,,datacomponent,1.0,,
Process: Process Modification,,"Changes made to a process, or its contents, typically to write and/or execute code in the memory of the target process (ex: Sysmon EID 8)",,,20 October 2021,,datacomponent,1.0,,
Process: Process Termination,,Exit of a running process (ex: Sysmon EID 5 or Windows EID 4689),,,20 October 2021,,datacomponent,1.0,,
Scheduled Job,DS0003,"Automated tasks that can be executed at a specific time or on a recurring schedule running in the background (ex: Cron daemon, task scheduler, BITS)(Citation: Microsoft Tasks)","Container, Host","Containers, Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0003,Center for Threat-Informed Defense (CTID)
Scheduled Job: Scheduled Job Creation,,Initial construction of a new scheduled job (ex: Windows EID 4698 or /var/log cron logs),,,20 October 2021,,datacomponent,1.0,,
Scheduled Job: Scheduled Job Metadata,,"Contextual data about a scheduled job, which may include information such as name, timing, command(s), etc.",,,20 October 2021,,datacomponent,1.0,,
Scheduled Job: Scheduled Job Modification,,"Changes made to a scheduled job, such as modifications to the execution launch (ex: Windows EID 4702 or /var/log cron logs)",,,20 October 2021,,datacomponent,1.0,,
Script,DS0012,"A file or stream containing a list of commands, allowing them to be launched in sequence(Citation: Microsoft PowerShell Logging)(Citation: FireEye PowerShell Logging)(Citation: Microsoft AMSI)",Host,Windows,20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0012,Center for Threat-Informed Defense (CTID)
Script: Script Execution,,"The execution of a text file that contains code via the interpreter (e.g. Powershell, WMI, Windows EID 4104, etc.)",,,20 October 2021,,datacomponent,1.1,,
Sensor Health,DS0013,"Information from host telemetry providing insights about system status, errors, or other notable functional activity",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0013,Center for Threat-Informed Defense (CTID)
Sensor Health: Host Status,,"Logging, messaging, and other artifacts highlighting the health of host sensors (ex: metrics, errors, and/or exceptions from logging applications)",,,20 October 2021,,datacomponent,1.1,,
Service,DS0019,"A computer process that is configured to execute continuously in the background and perform system tasks, in some cases before any user has logged in(Citation: Microsoft Services)(Citation: Linux Services Run Levels)",Host,"Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0019,Center for Threat-Informed Defense (CTID)
Service: Service Creation,,Initial construction of a new service/daemon (ex: Windows EID 4697 or /var/log daemon logs),,,20 October 2021,,datacomponent,1.0,,
Service: Service Metadata,,"Contextual data about a service/daemon, which may include information such as name, service executable, start type, etc.",,,20 October 2021,,datacomponent,1.0,,
Service: Service Modification,,"Changes made to a service/daemon, such as changes to name, description, and/or start type (ex: Windows EID 7040 or /var/log daemon logs)",,,20 October 2021,,datacomponent,1.0,,
Snapshot,DS0020,"A point-in-time copy of cloud volumes (files, settings, etc.) that can be created and/or deployed in cloud environments(Citation: Microsoft Snapshot)(Citation: Amazon Snapshots)",Cloud Control Plane,IaaS,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0020,Center for Threat-Informed Defense (CTID)
Snapshot: Snapshot Creation,,Initial construction of a new snapshot (ex: AWS create-snapshot),,,20 October 2021,,datacomponent,1.0,,
Snapshot: Snapshot Deletion,,Removal of a snapshot (ex: AWS delete-snapshot),,,20 October 2021,,datacomponent,1.0,,
Snapshot: Snapshot Enumeration,,An extracted list of snapshops within a cloud environment (ex: AWS describe-snapshots),,,20 October 2021,,datacomponent,1.0,,
Snapshot: Snapshot Metadata,,"Contextual data about a snapshot, which may include information such as ID, type, and status",,,20 October 2021,,datacomponent,1.0,,
Snapshot: Snapshot Modification,,"Changes made to a snapshop, such as metadata and control data (ex: AWS modify-snapshot-attribute)",,,20 October 2021,,datacomponent,1.0,,
User Account,DS0002,"A profile representing a user, device, service, or application used to authenticate and access resources","Cloud Control Plane, Container, Host","Azure AD, Containers, Google Workspace, IaaS, Linux, Office 365, SaaS, Windows, macOS",20 October 2021,,datasource,1.1,https://attack.mitre.org/data-sources/DS0002,Center for Threat-Informed Defense (CTID)
User Account: User Account Authentication,,"An attempt by a user to gain access to a network or computing resource, often by providing credentials (ex: Windows EID 4776 or /var/log/auth.log)",,,20 October 2021,,datacomponent,1.1,,
User Account: User Account Creation,,Initial construction of a new account (ex: Windows EID 4720 or /etc/passwd logs),,,20 October 2021,,datacomponent,1.0,,
User Account: User Account Deletion,,Removal of an account (ex: Windows EID 4726 or /var/log access/authentication logs),,,20 October 2021,,datacomponent,1.0,,
User Account: User Account Metadata,,"Contextual data about an account, which may include a username, user ID, environmental data, etc.",,,20 October 2021,,datacomponent,1.0,,
User Account: User Account Modification,,"Changes made to an account, such as permissions and/or membership in specific groups (ex: Windows EID 4738 or /var/log access/authentication logs)",,,20 October 2021,,datacomponent,1.0,,
Volume,DS0034,"Block object storage hosted on-premise or by third-party providers, typically made available to resources as virtualized hard drives(Citation: Amazon S3)(Citation: Azure Blob Storage)(Citation: Google Cloud Storage)","Cloud Control Plane, Host","IaaS, Linux, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0034,Center for Threat-Informed Defense (CTID)
Volume: Volume Creation,,Initial construction of a cloud volume (ex: AWS create-volume),,,20 October 2021,,datacomponent,1.0,,
Volume: Volume Deletion,,Removal of a a cloud volume (ex: AWS delete-volume),,,20 October 2021,,datacomponent,1.0,,
Volume: Volume Enumeration,,An extracted list of available volumes within a cloud environment (ex: AWS describe-volumes),,,20 October 2021,,datacomponent,1.0,,
Volume: Volume Metadata,,"Contextual data about a cloud volume and activity around it, such as id, type, state, and size",,,20 October 2021,,datacomponent,1.0,,
Volume: Volume Modification,,"Changes made to a cloud volume, including its settings and control data (ex: AWS modify-volume)",,,20 October 2021,,datacomponent,1.0,,
WMI,DS0005,The infrastructure for management data and operations that enables local and remote management of Windows personal computers and servers(Citation: Microsoft WMI System Classes)(Citation: Microsoft WMI Architecture),Host,Windows,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0005,Center for Threat-Informed Defense (CTID)
WMI: WMI Creation,,"Initial construction of a WMI object, such as a filter, consumer, subscription, binding, or provider (ex: Sysmon EIDs 19-21)",,,20 October 2021,,datacomponent,1.0,,
Web Credential,DS0006,"Credential material, such as session cookies or tokens, used to authenticate to web applications and services(Citation: Medium Authentication Tokens)(Citation: Auth0 Access Tokens)","Cloud Control Plane, Host","Azure AD, Google Workspace, Linux, Office 365, SaaS, Windows, macOS",20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0006,
Web Credential: Web Credential Creation,,Initial construction of new web credential material (ex: Windows EID 1200 or 4769),,,20 October 2021,,datacomponent,1.0,,
Web Credential: Web Credential Usage,,An attempt by a user to gain access to a network or computing resource by providing web credentials (ex: Windows EID 1202),,,20 October 2021,,datacomponent,1.0,,
Windows Registry,DS0024,"A Windows OS hierarchical database that stores much of the information and settings for software programs, hardware devices, user preferences, and operating-system configurations(Citation: Microsoft Registry)",Host,Windows,20 October 2021,,datasource,1.0,https://attack.mitre.org/datasources/DS0024,
Windows Registry: Windows Registry Key Access,,"Opening a Registry Key, typically to read the associated value (ex: Windows EID 4656)",,,20 October 2021,,datacomponent,1.0,,
Windows Registry: Windows Registry Key Creation,,Initial construction of a new Registry Key (ex: Windows EID 4656 or Sysmon EID 12),,,20 October 2021,,datacomponent,1.0,,
Windows Registry: Windows Registry Key Deletion,,Removal of a Registry Key (ex: Windows EID 4658 or Sysmon EID 12),,,20 October 2021,,datacomponent,1.0,,
Windows Registry: Windows Registry Key Modification,,Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14),,,20 October 2021,,datacomponent,1.0,,
