ID,name,description,url,created,last modified,version,contributors,platforms,aliases,type,relationship citations
S0347,AuditCred,[AuditCred](https://attack.mitre.org/software/S0347) is a malicious DLL that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032) during their 2018 attacks.(Citation: TrendMicro Lazarus Nov 2018),https://attack.mitre.org/software/S0347,30 January 2019,30 March 2020,1.1,,Windows,Roptimizer,malware,"(Citation: TrendMicro Lazarus Nov 2018),,(Citation: TrendMicro Lazarus Nov 2018)"
S0129,AutoIt backdoor,[AutoIt backdoor](https://attack.mitre.org/software/S0129) is malware that has been used by the actors responsible for the MONSOON campaign. The actors frequently used it in weaponized .pps files exploiting CVE-2014-6352. (Citation: Forcepoint Monsoon) This malware makes use of the legitimate scripting language for Windows GUI automation with the same name.,https://attack.mitre.org/software/S0129,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: Forcepoint Monsoon),(Citation: Symantec Elfin Mar 2019),,(Citation: Forcepoint Monsoon)"
S0640,Avaddon,[Avaddon](https://attack.mitre.org/software/S0640) is ransomware written in C++ that has been offered as Ransomware-as-a-Service (RaaS) since at least June 2020.(Citation: Awake Security Avaddon)(Citation: Arxiv Avaddon Feb 2021),https://attack.mitre.org/software/S0640,23 August 2021,18 October 2021,1.0,"Matt Brenton, Zurich Global Information Security",Windows,,malware,",,(Citation: Awake Security Avaddon),(Citation: Arxiv Avaddon Feb 2021),(Citation: Hornet Security Avaddon June 2020)"
S0473,Avenger,[Avenger](https://attack.mitre.org/software/S0473) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0473,11 June 2020,24 June 2020,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)"
S0344,Azorult,"[Azorult](https://attack.mitre.org/software/S0344) is a commercial Trojan that is used to steal information from compromised hosts. [Azorult](https://attack.mitre.org/software/S0344) has been observed in the wild as early as 2016.
In July 2018, [Azorult](https://attack.mitre.org/software/S0344) was seen used in a spearphishing campaign against targets in North America. [Azorult](https://attack.mitre.org/software/S0344) has been seen used for cryptocurrency theft. (Citation: Unit42 Azorult Nov 2018)(Citation: Proofpoint Azorult July 2018)",https://attack.mitre.org/software/S0344,30 January 2019,13 October 2022,1.3,,Windows,,malware,"(Citation: NCC Group TA505),,(Citation: Unit42 Azorult Nov 2018),(Citation: Proofpoint Azorult July 2018)"
S0031,BACKSPACE,[BACKSPACE](https://attack.mitre.org/software/S0031) is a backdoor used by [APT30](https://attack.mitre.org/groups/G0013) that dates back to at least 2005. (Citation: FireEye APT30),https://attack.mitre.org/software/S0031,31 May 2017,30 March 2020,1.1,,Windows,Lecna,malware,"(Citation: FireEye APT30),,(Citation: FireEye APT30)"
S0245,BADCALL,[BADCALL](https://attack.mitre.org/software/S0245) is a Trojan malware variant used by the group [Lazarus Group](https://attack.mitre.org/groups/G0032). (Citation: US-CERT BADCALL),https://attack.mitre.org/software/S0245,17 October 2018,30 March 2020,1.1,,Windows,,malware,"(Citation: US-CERT BADCALL),,(Citation: US-CERT BADCALL)"
S0642,BADFLICK,[BADFLICK](https://attack.mitre.org/software/S0642) is a backdoor used by [Leviathan](https://attack.mitre.org/groups/G0065) in spearphishing campaigns first reported in 2018 that targeted the U.S. engineering and maritime industries.(Citation: FireEye Periscope March 2018)(Citation: Accenture MUDCARP March 2019),https://attack.mitre.org/software/S0642,26 August 2021,15 October 2021,1.0,,Windows,,malware,"(Citation: Accenture MUDCARP March 2019),(Citation: FireEye Periscope March 2018),,(Citation: Accenture MUDCARP March 2019)"
S0128,BADNEWS,"[BADNEWS](https://attack.mitre.org/software/S0128) is malware that has been used by the actors responsible for the [Patchwork](https://attack.mitre.org/groups/G0040) campaign. Its name was given due to its use of RSS feeds, forums, and blogs for command and control. (Citation: Forcepoint Monsoon) (Citation: TrendMicro Patchwork Dec 2017)",https://attack.mitre.org/software/S0128,31 May 2017,21 June 2021,1.2,,Windows,,malware,"(Citation: Forcepoint Monsoon),(Citation: TrendMicro Patchwork Dec 2017),,(Citation: Forcepoint Monsoon),(Citation: TrendMicro Patchwork Dec 2017),(Citation: PaloAlto Patchwork Mar 2018)"
S0470,BBK,[BBK](https://attack.mitre.org/software/S0470) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0470,10 June 2020,24 June 2020,1.0,,Windows,,malware,"(Citation: Trend Micro Tick November 2019),,(Citation: Trend Micro Tick November 2019)"
S0127,BBSRAT,[BBSRAT](https://attack.mitre.org/software/S0127) is malware with remote access tool functionality that has been used in targeted compromises. (Citation: Palo Alto Networks BBSRAT),https://attack.mitre.org/software/S0127,31 May 2017,30 March 2020,1.2,,Windows,,malware,",,(Citation: Palo Alto Networks BBSRAT)"
S0017,BISCUIT,[BISCUIT](https://attack.mitre.org/software/S0017) is a backdoor that has been used by [APT1](https://attack.mitre.org/groups/G0006) since as early as 2007. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0017,31 May 2017,30 March 2020,1.2,,Windows,,malware,"(Citation: Mandiant APT1),,(Citation: Mandiant APT1),(Citation: Mandiant APT1 Appendix)"
S0190,BITSAdmin,[BITSAdmin](https://attack.mitre.org/software/S0190) is a command line tool used to create and manage [BITS Jobs](https://attack.mitre.org/techniques/T1197). (Citation: Microsoft BITSAdmin),https://attack.mitre.org/software/S0190,18 April 2018,13 October 2022,1.3,Edward Millington,Windows,,tool,"(Citation: FireEye APT41 March 2020),(Citation: Kaspersky Lyceum October 2021),(Citation: TrendMicro Tropic Trooper Mar 2018),(Citation: FireEye Periscope March 2018),(Citation: Kaspersky Ferocious Kitten Jun 2021),,(Citation: TrendMicro Tropic Trooper Mar 2018),(Citation: Microsoft BITSAdmin),(Citation: Microsoft About BITS)"
S0069,BLACKCOFFEE,[BLACKCOFFEE](https://attack.mitre.org/software/S0069) is malware that has been used by several Chinese groups since at least 2013. (Citation: FireEye APT17) (Citation: FireEye Periscope March 2018),https://attack.mitre.org/software/S0069,31 May 2017,30 March 2020,1.1,,Windows,,malware,"(Citation: FireEye Periscope March 2018),(Citation: FireEye APT17),(Citation: FireEye APT41 Aug 2019),,(Citation: FireEye Periscope March 2018),(Citation: FireEye APT17)"
S0520,BLINDINGCAN,"[BLINDINGCAN](https://attack.mitre.org/software/S0520) is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US.(Citation: US-CERT BLINDINGCAN Aug 2020)(Citation: NHS UK BLINDINGCAN Aug 2020)",https://attack.mitre.org/software/S0520,27 October 2020,17 March 2021,1.0,"Daniyal Naeem, BT Security",Windows,,malware,"(Citation: US-CERT BLINDINGCAN Aug 2020),,(Citation: NHS UK BLINDINGCAN Aug 2020),(Citation: US-CERT BLINDINGCAN Aug 2020)"
S0657,BLUELIGHT,[BLUELIGHT](https://attack.mitre.org/software/S0657) is a remote access Trojan used by [APT37](https://attack.mitre.org/groups/G0067) that was first observed in early 2021.(Citation: Volexity InkySquid BLUELIGHT August 2021),https://attack.mitre.org/software/S0657,01 October 2021,15 October 2021,1.0,,Windows,,malware,"(Citation: Volexity InkySquid BLUELIGHT August 2021),,(Citation: Volexity InkySquid BLUELIGHT August 2021)"
S0360,BONDUPDATER,"[BONDUPDATER](https://attack.mitre.org/software/S0360) is a PowerShell backdoor used by [OilRig](https://attack.mitre.org/groups/G0049). It was first observed in November 2017 during targeting of a Middle Eastern government organization, and an updated version was observed in August 2018 being used to target a government organization with spearphishing emails.(Citation: FireEye APT34 Dec 2017)(Citation: Palo Alto OilRig Sep 2018)",https://attack.mitre.org/software/S0360,18 February 2019,09 February 2021,1.2,,Windows,,malware,"(Citation: FireEye APT34 Dec 2017),(Citation: Palo Alto OilRig Sep 2018),,(Citation: Palo Alto OilRig Sep 2018),(Citation: FireEye APT34 Dec 2017)"
S0415,BOOSTWRITE,[BOOSTWRITE](https://attack.mitre.org/software/S0415) is a loader crafted to be launched via abuse of the DLL search order of applications used by [FIN7](https://attack.mitre.org/groups/G0046).(Citation: FireEye FIN7 Oct 2019),https://attack.mitre.org/software/S0415,11 October 2019,15 October 2019,1.0,,Windows,,malware,"(Citation: FireEye FIN7 Oct 2019),,(Citation: FireEye FIN7 Oct 2019)"
S0114,BOOTRASH,[BOOTRASH](https://attack.mitre.org/software/S0114) is a [Bootkit](https://attack.mitre.org/techniques/T1542/003) that targets Windows operating systems. It has been used by threat actors that target the financial sector.(Citation: Mandiant M Trends 2016)(Citation: FireEye Bootkits)(Citation: FireEye BOOTRASH SANS),https://attack.mitre.org/software/S0114,31 May 2017,09 June 2021,1.1,"Christopher Glyer, Mandiant, @cglyer",Windows,,malware,",,(Citation: FireEye BOOTRASH SANS),(Citation: Mandiant M Trends 2016),(Citation: FireEye Bootkits)"
S0014,BS2005,[BS2005](https://attack.mitre.org/software/S0014) is malware that was used by [Ke3chang](https://attack.mitre.org/groups/G0004) in spearphishing campaigns since at least 2011. (Citation: Mandiant Operation Ke3chang November 2014),https://attack.mitre.org/software/S0014,31 May 2017,01 November 2021,1.1,,Windows,,malware,",,(Citation: Mandiant Operation Ke3chang November 2014)"
S0043,BUBBLEWRAP,"[BUBBLEWRAP](https://attack.mitre.org/software/S0043) is a full-featured, second-stage backdoor used by the [admin@338](https://attack.mitre.org/groups/G0018) group. It is set to run when the system boots and includes functionality to check, upload, and register plug-ins that can further enhance its capabilities. (Citation: FireEye admin@338)",https://attack.mitre.org/software/S0043,31 May 2017,30 March 2020,1.1,,Windows,Backdoor.APT.FakeWinHTTPHelper,malware,"(Citation: FireEye admin@338),,(Citation: FireEye admin@338)"
S0638,Babuk,"[Babuk](https://attack.mitre.org/software/S0638) is a Ransomware-as-a-service (RaaS) malware that has been used since at least 2021. The operators of [Babuk](https://attack.mitre.org/software/S0638) employ a ""Big Game Hunting"" approach to targeting major enterprises and operate a leak site to post stolen data as part of their extortion scheme.(Citation: Sogeti CERT ESEC Babuk March 2021)(Citation: McAfee Babuk February 2021)(Citation: CyberScoop Babuk February 2021)",https://attack.mitre.org/software/S0638,11 August 2021,13 October 2021,1.0,"Daniyal Naeem, BT Security; Hiroki Nagahama, NEC Corporation; Manikantan Srinivasan, NEC Corporation India; Pooja Natarajan, NEC Corporation India","Linux, Windows","Babyk, Vasa Locker",malware,",,(Citation: McAfee Babuk February 2021),(Citation: Trend Micro Ransomware February 2021),(Citation: Medium Babuk February 2021),(Citation: Sogeti CERT ESEC Babuk March 2021)"
S0414,BabyShark,[BabyShark](https://attack.mitre.org/software/S0414) is a Microsoft Visual Basic (VB) script-based malware family that is believed to be associated with several North Korean campaigns. (Citation: Unit42 BabyShark Feb 2019),https://attack.mitre.org/software/S0414,07 October 2019,12 March 2021,1.2,,Windows,,malware,"(Citation: Cybereason Kimsuky November 2020),(Citation: Crowdstrike GTR2020 Mar 2020),(Citation: CISA AA20-301A Kimsuky),,(Citation: Unit42 BabyShark Apr 2019),(Citation: CISA AA20-301A Kimsuky),(Citation: Unit42 BabyShark Feb 2019),(Citation: Crowdstrike GTR2020 Mar 2020)"
S0475,BackConfig,[BackConfig](https://attack.mitre.org/software/S0475) is a custom Trojan with a flexible plugin architecture that has been used by [Patchwork](https://attack.mitre.org/groups/G0040).(Citation: Unit 42 BackConfig May 2020),https://attack.mitre.org/software/S0475,17 June 2020,29 June 2020,1.0,,Windows,,malware,"(Citation: Unit 42 BackConfig May 2020),,(Citation: Unit 42 BackConfig May 2020)"
S0093,Backdoor.Oldrea,"[Backdoor.Oldrea](https://attack.mitre.org/software/S0093) is a modular backdoor that used by [Dragonfly](https://attack.mitre.org/groups/G0035) against energy companies since at least 2013. [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) was distributed via supply chain compromise, and included specialized modules to enumerate and map ICS-specific systems, processes, and protocols.(Citation: Symantec Dragonfly)(Citation: Gigamon Berserk Bear October 2021)(Citation: Symantec Dragonfly Sept 2017)",https://attack.mitre.org/software/S0093,31 May 2017,12 October 2022,2.0,,Windows,Havex,malware,"(Citation: Symantec Dragonfly),(Citation: Gigamon Berserk Bear October 2021),,(Citation: Symantec Dragonfly),(Citation: Gigamon Berserk Bear October 2021)"
S0606,Bad Rabbit,[Bad Rabbit](https://attack.mitre.org/software/S0606) is a self-propagating ransomware that affected the Ukrainian transportation sector in 2017. [Bad Rabbit](https://attack.mitre.org/software/S0606) has also targeted organizations and consumers in Russia. (Citation: Secure List Bad Rabbit)(Citation: ESET Bad Rabbit)(Citation: Dragos IT ICS Ransomware) ,https://attack.mitre.org/software/S0606,09 February 2021,12 October 2022,1.0,,Windows,Win32/Diskcoder.D,malware,"(Citation: Secureworks IRON VIKING ),,(Citation: Secure List Bad Rabbit),(Citation: ESET Bad Rabbit)"
S0337,BadPatch,[BadPatch](https://attack.mitre.org/software/S0337) is a Windows Trojan that was used in a Gaza Hackers-linked campaign.(Citation: Unit 42 BadPatch Oct 2017),https://attack.mitre.org/software/S0337,29 January 2019,17 March 2020,1.1,,Windows,,malware,",,(Citation: Unit 42 BadPatch Oct 2017)"
S0234,Bandook,"[Bandook](https://attack.mitre.org/software/S0234) is a commercially available RAT, written in Delphi and C++, that has been available since at least 2007. It has been used against government, financial, energy, healthcare, education, IT, and legal organizations in the US, South America, Europe, and Southeast Asia. [Bandook](https://attack.mitre.org/software/S0234) has been used by [Dark Caracal](https://attack.mitre.org/groups/G0070), as well as in a separate campaign referred to as ""Operation Manul"".(Citation: EFF Manul Aug 2016)(Citation: Lookout Dark Caracal Jan 2018)(Citation: CheckPoint Bandook Nov 2020)",https://attack.mitre.org/software/S0234,17 October 2018,11 October 2021,2.0,,Windows,,malware,"(Citation: CheckPoint Bandook Nov 2020),(Citation: Lookout Dark Caracal Jan 2018),,(Citation: EFF Manul Aug 2016),(Citation: BH Manul Aug 2016),(Citation: CheckPoint Bandook Nov 2020),(Citation: Lookout Dark Caracal Jan 2018)"
S0239,Bankshot,"[Bankshot](https://attack.mitre.org/software/S0239) is a remote access tool (RAT) that was first reported by the Department of Homeland Security in December of 2017. In 2018, [Lazarus Group](https://attack.mitre.org/groups/G0032) used the [Bankshot](https://attack.mitre.org/software/S0239) implant in attacks against the Turkish financial sector. (Citation: McAfee Bankshot)",https://attack.mitre.org/software/S0239,17 October 2018,30 March 2020,1.1,,Windows,Trojan Manuscript,malware,"(Citation: McAfee Bankshot),,(Citation: US-CERT Bankshot Dec 2017),(Citation: McAfee Bankshot)"
S0534,Bazar,"[Bazar](https://attack.mitre.org/software/S0534) is a downloader and backdoor that has been used since at least April 2020, with infections primarily against professional services, healthcare, manufacturing, IT, logistics and travel companies across the US and Europe. [Bazar](https://attack.mitre.org/software/S0534) reportedly has ties to [TrickBot](https://attack.mitre.org/software/S0266) campaigns and can be used to deploy additional malware, including ransomware, and to steal sensitive data.(Citation: Cybereason Bazar July 2020)",https://attack.mitre.org/software/S0534,18 November 2020,29 September 2022,1.2,"Cybereason Nocturnus, @nocturnus",Windows,"KEGTAP, Team9",malware,"(Citation: CrowdStrike Wizard Spider October 2020),(Citation: Google EXOTIC LILY March 2022),(Citation: DFIR Conti Bazar Nov 2021),(Citation: NCC Group Team9 June 2020),(Citation: Zscaler Bazar September 2020),(Citation: Cybereason Bazar July 2020),(Citation: CrowdStrike Wizard Spider October 2020),(Citation: DFIR Ryuk's Return October 2020),(Citation: DFIR Conti Bazar Nov 2021)"
S0574,BendyBear,"[BendyBear](https://attack.mitre.org/software/S0574) is an x64 shellcode for a stage-zero implant designed to download malware from a C2 server. First discovered in August 2020, [BendyBear](https://attack.mitre.org/software/S0574) shares a variety of features with [Waterbear](https://attack.mitre.org/software/S0579), malware previously attributed to the Chinese cyber espionage group [BlackTech](https://attack.mitre.org/groups/G0098).(Citation: Unit42 BendyBear Feb 2021)",https://attack.mitre.org/software/S0574,16 February 2021,21 April 2021,1.0,,Windows,,malware,",,(Citation: Unit42 BendyBear Feb 2021)"
S0268,Bisonal,"[Bisonal](https://attack.mitre.org/software/S0268) is a remote access tool (RAT) that has been used by [Tonto Team](https://attack.mitre.org/groups/G0131) against public and private sector organizations in Russia, South Korea, and Japan since at least December 2010.(Citation: Unit 42 Bisonal July 2018)(Citation: Talos Bisonal Mar 2020)",https://attack.mitre.org/software/S0268,17 October 2018,18 April 2022,2.0,,Windows,,malware,"(Citation: Talos Bisonal Mar 2020),(Citation: Kaspersky CactusPete Aug 2020),(Citation: Secureworks BRONZE HUNTLEY ),,(Citation: Unit 42 Bisonal July 2018),(Citation: Talos Bisonal Mar 2020),(Citation: Kaspersky CactusPete Aug 2020)"
S0570,BitPaymer,"[BitPaymer](https://attack.mitre.org/software/S0570) is a ransomware variant first observed in August 2017 targeting hospitals in the U.K. [BitPaymer](https://attack.mitre.org/software/S0570) uses a unique encryption key, ransom note, and contact information for each operation. [BitPaymer](https://attack.mitre.org/software/S0570) has several indicators suggesting overlap with the [Dridex](https://attack.mitre.org/software/S0384) malware and is often delivered via [Dridex](https://attack.mitre.org/software/S0384).(Citation: Crowdstrike Indrik November 2018)",https://attack.mitre.org/software/S0570,08 February 2021,26 April 2021,1.0,,Windows,"FriedEx, wp_encrypt",malware,"(Citation: Crowdstrike Indrik November 2018),(Citation: Crowdstrike EvilCorp March 2021),,(Citation: Crowdstrike Indrik November 2018)"
