Reconnaissance,Reconnaissance,Resource Development,Resource Development,Initial Access,Initial Access,Execution,Execution,Persistence,Persistence,Privilege Escalation,Privilege Escalation,Defense Evasion,Defense Evasion,Credential Access,Credential Access,Discovery,Discovery,Lateral Movement,Lateral Movement,Collection,Collection,Command and Control,Command and Control,Exfiltration,Exfiltration,Impact,Impact
Gather Victim Network Information,DNS,Compromise Infrastructure,Botnet,Supply Chain Compromise,Compromise Software Supply Chain,Exploitation for Client Execution,,Boot or Logon Autostart Execution,Login Items,Boot or Logon Autostart Execution,Authentication Package,Build Image on Host,,Credentials from Password Stores,Securityd Memory,Container and Resource Discovery,,Remote Services,Windows Remote Management,Data Staged,Local Data Staging,Dynamic Resolution,DNS Calculation,Scheduled Transfer,,Endpoint Denial of Service,Application Exhaustion Flood
Gather Victim Network Information,Domain Properties,Compromise Infrastructure,DNS Server,Trusted Relationship,,Inter-Process Communication,Component Object Model,Boot or Logon Autostart Execution,Port Monitors,Boot or Logon Autostart Execution,Kernel Modules and Extensions,Debugger Evasion,,Credentials from Password Stores,Windows Credential Manager,Debugger Evasion,,Replication Through Removable Media,,Data Staged,Remote Data Staging,Dynamic Resolution,Domain Generation Algorithms,Transfer Data to Cloud Account,,Endpoint Denial of Service,Application or System Exploitation
Gather Victim Network Information,IP Addresses,Compromise Infrastructure,Domains,Valid Accounts,Cloud Accounts,Inter-Process Communication,Dynamic Data Exchange,Boot or Logon Autostart Execution,Print Processors,Boot or Logon Autostart Execution,LSASS Driver,Deobfuscate/Decode Files or Information,,Exploitation for Credential Access,,Domain Trust Discovery,,Software Deployment Tools,,Data from Cloud Storage,,Dynamic Resolution,Fast Flux DNS,,,Endpoint Denial of Service,OS Exhaustion Flood
Gather Victim Network Information,Network Security Appliances,Compromise Infrastructure,Server,Valid Accounts,Default Accounts,Inter-Process Communication,XPC Services,Boot or Logon Autostart Execution,Re-opened Applications,Boot or Logon Autostart Execution,Login Items,Deploy Container,,Forced Authentication,,File and Directory Discovery,,Taint Shared Content,,Data from Configuration Repository,Network Device Configuration Dump,Encrypted Channel,Asymmetric Cryptography,,,Endpoint Denial of Service,Service Exhaustion Flood
Gather Victim Network Information,Network Topology,Compromise Infrastructure,Serverless,Valid Accounts,Domain Accounts,Native API,,Boot or Logon Autostart Execution,Registry Run Keys / Startup Folder,Boot or Logon Autostart Execution,Port Monitors,Direct Volume Access,,Forge Web Credentials,SAML Tokens,Group Policy Discovery,,Use Alternate Authentication Material,Application Access Token,Data from Configuration Repository,SNMP (MIB Dump),Encrypted Channel,Symmetric Cryptography,,,Firmware Corruption,
Gather Victim Network Information,Network Trust Dependencies,Compromise Infrastructure,Virtual Private Server,Valid Accounts,Local Accounts,Scheduled Task/Job,At,Boot or Logon Autostart Execution,Security Support Provider,Boot or Logon Autostart Execution,Print Processors,Domain Policy Modification,Domain Trust Modification,Forge Web Credentials,Web Cookies,Network Service Discovery,,Use Alternate Authentication Material,Pass the Hash,Data from Information Repositories,Code Repositories,Fallback Channels,,,,Inhibit System Recovery,
Gather Victim Org Information,Business Relationships,Compromise Infrastructure,Web Services,,,Scheduled Task/Job,Container Orchestration Job,Boot or Logon Autostart Execution,Shortcut Modification,Boot or Logon Autostart Execution,Re-opened Applications,Domain Policy Modification,Group Policy Modification,Input Capture,Credential API Hooking,Network Share Discovery,,Use Alternate Authentication Material,Pass the Ticket,Data from Information Repositories,Confluence,Ingress Tool Transfer,,,,Network Denial of Service,Direct Network Flood
Gather Victim Org Information,Determine Physical Locations,Develop Capabilities,Code Signing Certificates,,,Scheduled Task/Job,Cron,Boot or Logon Autostart Execution,Time Providers,Boot or Logon Autostart Execution,Registry Run Keys / Startup Folder,Execution Guardrails,Environmental Keying,Input Capture,GUI Input Capture,Network Sniffing,,Use Alternate Authentication Material,Web Session Cookie,Data from Information Repositories,Sharepoint,Multi-Stage Channels,,,,Network Denial of Service,Reflection Amplification
Gather Victim Org Information,Identify Business Tempo,Develop Capabilities,Digital Certificates,,,Scheduled Task/Job,Scheduled Task,Boot or Logon Autostart Execution,Winlogon Helper DLL,Boot or Logon Autostart Execution,Security Support Provider,Exploitation for Defense Evasion,,Input Capture,Keylogging,Password Policy Discovery,,,,Data from Local System,,Non-Application Layer Protocol,,,,Resource Hijacking,
Gather Victim Org Information,Identify Roles,Develop Capabilities,Exploits,,,Scheduled Task/Job,Systemd Timers,Boot or Logon Autostart Execution,XDG Autostart Entries,Boot or Logon Autostart Execution,Shortcut Modification,File and Directory Permissions Modification,Linux and Mac File and Directory Permissions Modification,Input Capture,Web Portal Capture,Peripheral Device Discovery,,,,Data from Network Shared Drive,,Non-Standard Port,,,,Service Stop,
Phishing for Information,Spearphishing Attachment,Develop Capabilities,Malware,,,Serverless Execution,,Boot or Logon Initialization Scripts,Login Hook,Boot or Logon Autostart Execution,Time Providers,File and Directory Permissions Modification,Windows File and Directory Permissions Modification,Modify Authentication Process,Domain Controller Authentication,Permission Groups Discovery,Cloud Groups,,,Data from Removable Media,,Protocol Tunneling,,,,System Shutdown/Reboot,
Phishing for Information,Spearphishing Link,Establish Accounts,Cloud Accounts,,,Shared Modules,,Boot or Logon Initialization Scripts,Logon Script (Windows),Boot or Logon Autostart Execution,Winlogon Helper DLL,Hide Artifacts,Email Hiding Rules,Modify Authentication Process,Hybrid Identity,Permission Groups Discovery,Domain Groups,,,Email Collection,Email Forwarding Rule,Proxy,Domain Fronting,,,,
Phishing for Information,Spearphishing Service,Establish Accounts,Email Accounts,,,Software Deployment Tools,,Boot or Logon Initialization Scripts,Network Logon Script,Boot or Logon Autostart Execution,XDG Autostart Entries,Hide Artifacts,Hidden File System,Modify Authentication Process,Multi-Factor Authentication,Permission Groups Discovery,Local Groups,,,Email Collection,Local Email Collection,Proxy,External Proxy,,,,
Search Closed Sources,Purchase Technical Data,Establish Accounts,Social Media Accounts,,,System Services,Launchctl,Boot or Logon Initialization Scripts,RC Scripts,Boot or Logon Initialization Scripts,Login Hook,Hide Artifacts,Hidden Files and Directories,Modify Authentication Process,Network Device Authentication,Process Discovery,,,,Email Collection,Remote Email Collection,Proxy,Internal Proxy,,,,
Search Closed Sources,Threat Intel Vendors,Obtain Capabilities,Code Signing Certificates,,,System Services,Service Execution,Boot or Logon Initialization Scripts,Startup Items,Boot or Logon Initialization Scripts,Logon Script (Windows),Hide Artifacts,Hidden Users,Modify Authentication Process,Password Filter DLL,Query Registry,,,,Input Capture,Credential API Hooking,Proxy,Multi-hop Proxy,,,,
Search Open Technical Databases,CDNs,Obtain Capabilities,Digital Certificates,,,User Execution,Malicious File,Browser Extensions,,Boot or Logon Initialization Scripts,Network Logon Script,Hide Artifacts,Hidden Window,Modify Authentication Process,Pluggable Authentication Modules,Remote System Discovery,,,,Input Capture,GUI Input Capture,Remote Access Software,,,,,
Search Open Technical Databases,DNS/Passive DNS,Obtain Capabilities,Exploits,,,User Execution,Malicious Image,Compromise Client Software Binary,,Boot or Logon Initialization Scripts,RC Scripts,Hide Artifacts,NTFS File Attributes,Modify Authentication Process,Reversible Encryption,Software Discovery,Security Software Discovery,,,Input Capture,Keylogging,Traffic Signaling,Port Knocking,,,,
Search Open Technical Databases,Digital Certificates,Obtain Capabilities,Malware,,,User Execution,Malicious Link,Create Account,Cloud Account,Boot or Logon Initialization Scripts,Startup Items,Hide Artifacts,Process Argument Spoofing,Multi-Factor Authentication Interception,,System Information Discovery,,,,Input Capture,Web Portal Capture,Traffic Signaling,Socket Filters,,,,
Search Open Technical Databases,Scan Databases,Obtain Capabilities,Tool,,,Windows Management Instrumentation,,Create Account,Domain Account,Create or Modify System Process,Launch Agent,Hide Artifacts,Resource Forking,Multi-Factor Authentication Request Generation,,System Location Discovery,System Language Discovery,,,Screen Capture,,Web Service,Bidirectional Communication,,,,
Search Open Technical Databases,WHOIS,Obtain Capabilities,Vulnerabilities,,,,,Create Account,Local Account,Create or Modify System Process,Launch Daemon,Hide Artifacts,Run Virtual Instance,Network Sniffing,,System Network Configuration Discovery,Internet Connection Discovery,,,Video Capture,,Web Service,Dead Drop Resolver,,,,
Search Open Websites/Domains,Code Repositories,Stage Capabilities,Drive-by Target,,,,,Create or Modify System Process,Launch Agent,Create or Modify System Process,Systemd Service,Hide Artifacts,VBA Stomping,OS Credential Dumping,/etc/passwd and /etc/shadow,System Network Connections Discovery,,,,,,Web Service,One-Way Communication,,,,
Search Open Websites/Domains,Search Engines,Stage Capabilities,Install Digital Certificate,,,,,Create or Modify System Process,Launch Daemon,Create or Modify System Process,Windows Service,Hijack Execution Flow,COR_PROFILER,OS Credential Dumping,Cached Domain Credentials,System Owner/User Discovery,,,,,,,,,,,
Search Open Websites/Domains,Social Media,Stage Capabilities,Link Target,,,,,Create or Modify System Process,Systemd Service,Domain Policy Modification,Domain Trust Modification,Hijack Execution Flow,DLL Search Order Hijacking,OS Credential Dumping,DCSync,System Service Discovery,,,,,,,,,,,
Search Victim-Owned Websites,,Stage Capabilities,SEO Poisoning,,,,,Create or Modify System Process,Windows Service,Domain Policy Modification,Group Policy Modification,Hijack Execution Flow,DLL Side-Loading,OS Credential Dumping,LSA Secrets,System Time Discovery,,,,,,,,,,,
,,Stage Capabilities,Upload Malware,,,,,Event Triggered Execution,Accessibility Features,Escape to Host,,Hijack Execution Flow,Dylib Hijacking,OS Credential Dumping,LSASS Memory,Virtualization/Sandbox Evasion,System Checks,,,,,,,,,,
,,Stage Capabilities,Upload Tool,,,,,Event Triggered Execution,AppCert DLLs,Event Triggered Execution,Accessibility Features,Hijack Execution Flow,Dynamic Linker Hijacking,OS Credential Dumping,NTDS,Virtualization/Sandbox Evasion,Time Based Evasion,,,,,,,,,,
,,,,,,,,Event Triggered Execution,AppInit DLLs,Event Triggered Execution,AppCert DLLs,Hijack Execution Flow,Executable Installer File Permissions Weakness,OS Credential Dumping,Proc Filesystem,Virtualization/Sandbox Evasion,User Activity Based Checks,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Application Shimming,Event Triggered Execution,AppInit DLLs,Hijack Execution Flow,KernelCallbackTable,OS Credential Dumping,Security Account Manager,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Change Default File Association,Event Triggered Execution,Application Shimming,Hijack Execution Flow,Path Interception by PATH Environment Variable,Steal Application Access Token,,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Component Object Model Hijacking,Event Triggered Execution,Change Default File Association,Hijack Execution Flow,Path Interception by Search Order Hijacking,Steal Web Session Cookie,,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Emond,Event Triggered Execution,Component Object Model Hijacking,Hijack Execution Flow,Path Interception by Unquoted Path,Steal or Forge Authentication Certificates,,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Image File Execution Options Injection,Event Triggered Execution,Emond,Hijack Execution Flow,Services File Permissions Weakness,Steal or Forge Kerberos Tickets,AS-REP Roasting,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Installer Packages,Event Triggered Execution,Image File Execution Options Injection,Hijack Execution Flow,Services Registry Permissions Weakness,Steal or Forge Kerberos Tickets,Golden Ticket,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,LC_LOAD_DYLIB Addition,Event Triggered Execution,Installer Packages,Impair Defenses,Disable Cloud Logs,Steal or Forge Kerberos Tickets,Kerberoasting,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Netsh Helper DLL,Event Triggered Execution,LC_LOAD_DYLIB Addition,Impair Defenses,Disable Windows Event Logging,Steal or Forge Kerberos Tickets,Silver Ticket,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,PowerShell Profile,Event Triggered Execution,Netsh Helper DLL,Impair Defenses,Disable or Modify Cloud Firewall,Unsecured Credentials,Bash History,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Screensaver,Event Triggered Execution,PowerShell Profile,Impair Defenses,Disable or Modify System Firewall,Unsecured Credentials,Cloud Instance Metadata API,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Trap,Event Triggered Execution,Screensaver,Impair Defenses,Disable or Modify Tools,Unsecured Credentials,Container API,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Unix Shell Configuration Modification,Event Triggered Execution,Trap,Impair Defenses,Downgrade Attack,Unsecured Credentials,Credentials In Files,,,,,,,,,,,,
,,,,,,,,Event Triggered Execution,Windows Management Instrumentation Event Subscription,Event Triggered Execution,Unix Shell Configuration Modification,Impair Defenses,Impair Command History Logging,Unsecured Credentials,Credentials in Registry,,,,,,,,,,,,
,,,,,,,,External Remote Services,,Event Triggered Execution,Windows Management Instrumentation Event Subscription,Impair Defenses,Indicator Blocking,Unsecured Credentials,Group Policy Preferences,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,COR_PROFILER,Exploitation for Privilege Escalation,,Impair Defenses,Safe Mode Boot,Unsecured Credentials,Private Keys,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,DLL Search Order Hijacking,Hijack Execution Flow,COR_PROFILER,Indicator Removal,Clear Command History,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,DLL Side-Loading,Hijack Execution Flow,DLL Search Order Hijacking,Indicator Removal,Clear Linux or Mac System Logs,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Dylib Hijacking,Hijack Execution Flow,DLL Side-Loading,Indicator Removal,Clear Mailbox Data,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Dynamic Linker Hijacking,Hijack Execution Flow,Dylib Hijacking,Indicator Removal,Clear Network Connection History and Configurations,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Executable Installer File Permissions Weakness,Hijack Execution Flow,Dynamic Linker Hijacking,Indicator Removal,Clear Persistence,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,KernelCallbackTable,Hijack Execution Flow,Executable Installer File Permissions Weakness,Indicator Removal,Clear Windows Event Logs,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Path Interception by PATH Environment Variable,Hijack Execution Flow,KernelCallbackTable,Indicator Removal,File Deletion,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Path Interception by Search Order Hijacking,Hijack Execution Flow,Path Interception by PATH Environment Variable,Indicator Removal,Network Share Connection Removal,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Path Interception by Unquoted Path,Hijack Execution Flow,Path Interception by Search Order Hijacking,Indicator Removal,Timestomp,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Services File Permissions Weakness,Hijack Execution Flow,Path Interception by Unquoted Path,Indirect Command Execution,,,,,,,,,,,,,,,
,,,,,,,,Hijack Execution Flow,Services Registry Permissions Weakness,Hijack Execution Flow,Services File Permissions Weakness,Masquerading,Double File Extension,,,,,,,,,,,,,,
,,,,,,,,Implant Internal Image,,Hijack Execution Flow,Services Registry Permissions Weakness,Masquerading,Invalid Code Signature,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Domain Controller Authentication,Process Injection,Asynchronous Procedure Call,Masquerading,Masquerade Task or Service,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Hybrid Identity,Process Injection,Dynamic-link Library Injection,Masquerading,Match Legitimate Name or Location,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Multi-Factor Authentication,Process Injection,Extra Window Memory Injection,Masquerading,Rename System Utilities,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Network Device Authentication,Process Injection,ListPlanting,Masquerading,Right-to-Left Override,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Password Filter DLL,Process Injection,Portable Executable Injection,Masquerading,Space after Filename,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Pluggable Authentication Modules,Process Injection,Proc Memory,Modify Authentication Process,Domain Controller Authentication,,,,,,,,,,,,,,
,,,,,,,,Modify Authentication Process,Reversible Encryption,Process Injection,Process Doppelgänging,Modify Authentication Process,Hybrid Identity,,,,,,,,,,,,,,
,,,,,,,,Office Application Startup,Add-ins,Process Injection,Process Hollowing,Modify Authentication Process,Multi-Factor Authentication,,,,,,,,,,,,,,
,,,,,,,,Office Application Startup,Office Template Macros,Process Injection,Ptrace System Calls,Modify Authentication Process,Network Device Authentication,,,,,,,,,,,,,,
,,,,,,,,Office Application Startup,Office Test,Process Injection,Thread Execution Hijacking,Modify Authentication Process,Password Filter DLL,,,,,,,,,,,,,,
,,,,,,,,Office Application Startup,Outlook Forms,Process Injection,Thread Local Storage,Modify Authentication Process,Pluggable Authentication Modules,,,,,,,,,,,,,,
,,,,,,,,Office Application Startup,Outlook Home Page,Process Injection,VDSO Hijacking,Modify Authentication Process,Reversible Encryption,,,,,,,,,,,,,,
,,,,,,,,Office Application Startup,Outlook Rules,Scheduled Task/Job,At,Modify Cloud Compute Infrastructure,Create Cloud Instance,,,,,,,,,,,,,,
,,,,,,,,Pre-OS Boot,Bootkit,Scheduled Task/Job,Container Orchestration Job,Modify Cloud Compute Infrastructure,Create Snapshot,,,,,,,,,,,,,,
,,,,,,,,Pre-OS Boot,Component Firmware,Scheduled Task/Job,Cron,Modify Cloud Compute Infrastructure,Delete Cloud Instance,,,,,,,,,,,,,,
,,,,,,,,Pre-OS Boot,ROMMONkit,Scheduled Task/Job,Scheduled Task,Modify Cloud Compute Infrastructure,Revert Cloud Instance,,,,,,,,,,,,,,
,,,,,,,,Pre-OS Boot,System Firmware,Scheduled Task/Job,Systemd Timers,Modify Registry,,,,,,,,,,,,,,,
,,,,,,,,Pre-OS Boot,TFTP Boot,Valid Accounts,Cloud Accounts,Modify System Image,Downgrade System Image,,,,,,,,,,,,,,
,,,,,,,,Scheduled Task/Job,At,Valid Accounts,Default Accounts,Modify System Image,Patch System Image,,,,,,,,,,,,,,
,,,,,,,,Scheduled Task/Job,Container Orchestration Job,Valid Accounts,Domain Accounts,Network Boundary Bridging,Network Address Translation Traversal,,,,,,,,,,,,,,
,,,,,,,,Scheduled Task/Job,Cron,Valid Accounts,Local Accounts,Obfuscated Files or Information,Binary Padding,,,,,,,,,,,,,,
,,,,,,,,Scheduled Task/Job,Scheduled Task,,,Obfuscated Files or Information,Compile After Delivery,,,,,,,,,,,,,,
,,,,,,,,Scheduled Task/Job,Systemd Timers,,,Obfuscated Files or Information,Dynamic API Resolution,,,,,,,,,,,,,,
,,,,,,,,Server Software Component,IIS Components,,,Obfuscated Files or Information,Embedded Payloads,,,,,,,,,,,,,,
,,,,,,,,Server Software Component,SQL Stored Procedures,,,Obfuscated Files or Information,HTML Smuggling,,,,,,,,,,,,,,
,,,,,,,,Server Software Component,Terminal Services DLL,,,Obfuscated Files or Information,Indicator Removal from Tools,,,,,,,,,,,,,,
,,,,,,,,Server Software Component,Transport Agent,,,Obfuscated Files or Information,Software Packing,,,,,,,,,,,,,,
,,,,,,,,Server Software Component,Web Shell,,,Obfuscated Files or Information,Steganography,,,,,,,,,,,,,,
,,,,,,,,Traffic Signaling,Port Knocking,,,Obfuscated Files or Information,Stripped Payloads,,,,,,,,,,,,,,
,,,,,,,,Traffic Signaling,Socket Filters,,,Plist File Modification,,,,,,,,,,,,,,,
,,,,,,,,Valid Accounts,Cloud Accounts,,,Pre-OS Boot,Bootkit,,,,,,,,,,,,,,
,,,,,,,,Valid Accounts,Default Accounts,,,Pre-OS Boot,Component Firmware,,,,,,,,,,,,,,
,,,,,,,,Valid Accounts,Domain Accounts,,,Pre-OS Boot,ROMMONkit,,,,,,,,,,,,,,
,,,,,,,,Valid Accounts,Local Accounts,,,Pre-OS Boot,System Firmware,,,,,,,,,,,,,,
,,,,,,,,,,,,Pre-OS Boot,TFTP Boot,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Asynchronous Procedure Call,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Dynamic-link Library Injection,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Extra Window Memory Injection,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,ListPlanting,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Portable Executable Injection,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Proc Memory,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Process Doppelgänging,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Process Hollowing,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Ptrace System Calls,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Thread Execution Hijacking,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,Thread Local Storage,,,,,,,,,,,,,,
,,,,,,,,,,,,Process Injection,VDSO Hijacking,,,,,,,,,,,,,,
,,,,,,,,,,,,Reflective Code Loading,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rogue Domain Controller,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rootkit,,,,,,,,,,,,,,,
,,,,,,,,,,,,Subvert Trust Controls,Code Signing,,,,,,,,,,,,,,
,,,,,,,,,,,,Subvert Trust Controls,Code Signing Policy Modification,,,,,,,,,,,,,,
,,,,,,,,,,,,Subvert Trust Controls,Gatekeeper Bypass,,,,,,,,,,,,,,
,,,,,,,,,,,,Subvert Trust Controls,Install Root Certificate,,,,,,,,,,,,,,
,,,,,,,,,,,,Subvert Trust Controls,Mark-of-the-Web Bypass,,,,,,,,,,,,,,
,,,,,,,,,,,,Subvert Trust Controls,SIP and Trust Provider Hijacking,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,CMSTP,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,Compiled HTML File,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,Control Panel,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,InstallUtil,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,MMC,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,Mavinject,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,Mshta,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,Msiexec,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,Odbcconf,,,,,,,,,,,,,,
,,,,,,,,,,,,System Binary Proxy Execution,Regsvcs/Regasm,,,,,,,,,,,,,,
