reference,citation,url
ADSecurity Detecting Forged Tickets,"Metcalf, S. (2015, May 03). Detecting Forged Kerberos Ticket (Golden Ticket & Silver Ticket) Use in Active Directory. Retrieved December 23, 2015.",https://adsecurity.org/?p=1515
ADSecurity Finding Passwords in SYSVOL,"Sean Metcalf. (2015, December 28). Finding Passwords in SYSVOL & Exploiting Group Policy Preferences. Retrieved February 17, 2020.",https://adsecurity.org/?p=2288
ADSecurity GPO Persistence 2016,"Metcalf, S. (2016, March 14). Sneaky Active Directory Persistence #17: Group Policy. Retrieved March 5, 2019.",https://adsecurity.org/?p=2716
ADSecurity Kerberos Ring Decoder,"Sean Metcalf. (2014, September 12). Kerberos, Active Directory’s Secret Decoder Ring. Retrieved February 27, 2020.",https://adsecurity.org/?p=227
ADSecurity Kerberos and KRBTGT,"Sean Metcalf. (2014, November 10). Kerberos & KRBTGT: Active Directory’s Domain Kerberos Service Account. Retrieved January 30, 2020.",https://adsecurity.org/?p=483
ADSecurity Mimikatz DCSync,"Metcalf, S. (2015, September 25). Mimikatz DCSync Usage, Exploitation, and Detection. Retrieved August 7, 2017.",https://adsecurity.org/?p=1729
ADSecurity Silver Tickets,"Sean Metcalf. (2015, November 17). How Attackers Use Kerberos Silver Tickets to Exploit Systems. Retrieved February 27, 2020.",https://adsecurity.org/?p=2011
ADSecurity Windows Secure Baseline,"Metcalf, S. (2016, October 21). Securing Windows Workstations: Developing a Secure Baseline. Retrieved November 17, 2017.",https://adsecurity.org/?p=3299
AMD Magic Packet,"AMD. (1995, November 1). Magic Packet Technical White Paper. Retrieved February 17, 2021.",https://www.amd.com/system/files/TechDocs/20213.pdf
ANSSI Nobelium Phishing December 2021,"ANSSI. (2021, December 6). PHISHING CAMPAIGNS BY THE NOBELIUM INTRUSION SET. Retrieved April 13, 2022.",https://www.cert.ssi.gouv.fr/uploads/CERTFR-2021-CTI-011.pdf
ANSSI RYUK RANSOMWARE,"ANSSI. (2021, February 25). RYUK RANSOMWARE. Retrieved March 29, 2021.",https://www.cert.ssi.gouv.fr/uploads/CERTFR-2021-CTI-006.pdf
ANSSI Sandworm January 2021,"ANSSI. (2021, January 27). SANDWORM INTRUSION SET CAMPAIGN TARGETING CENTREON SYSTEMS. Retrieved March 30, 2021.",https://www.cert.ssi.gouv.fr/uploads/CERTFR-2021-CTI-005.pdf
APT15 Intezer June 2018,"Rosenberg, J. (2018, June 14). MirageFox: APT15 Resurfaces With New Tools Based On Old Ones. Retrieved September 21, 2018.",https://web.archive.org/web/20180615122133/https://www.intezer.com/miragefox-apt15-resurfaces-with-new-tools-based-on-old-ones/
APT3 Adversary Emulation Plan,"Korban, C, et al. (2017, September). APT3 Adversary Emulation Plan. Retrieved January 16, 2018.",https://attack.mitre.org/docs/APT3_Adversary_Emulation_Plan.pdf
APT34,"This group was previously tracked under two distinct groups, APT34 and OilRig, but was combined due to additional reporting giving higher confidence about the overlap of the activity. (Citation: Unit 42 QUADAGENT July 2018) (Citation: FireEye APT34 Dec 2017)(Citation: Check Point APT34 April 2021)",
APT40,FireEye reporting on TEMP.Periscope (which was combined into APT40) indicated TEMP.Periscope was reported upon as Leviathan.(Citation: CISA AA21-200A APT40 July 2021)(Citation: Proofpoint Leviathan Oct 2017)(Citation: FireEye Periscope March 2018)(Citation: FireEye APT40 March 2019),
ARS Technica China Hack SK April 2017,"Sean Gallagher. (2017, April 21). Researchers claim China trying to hack South Korea missile defense efforts. Retrieved October 17, 2021.",https://arstechnica.com/information-technology/2017/04/researchers-claim-china-trying-to-hack-south-korea-missile-defense-efforts/
ASEC Emotet 2017,"ASEC. (2017). ASEC REPORT VOL.88. Retrieved April 16, 2019.",https://global.ahnlab.com/global/upload/download/asecreport/ASEC%20REPORT_vol.88_ENG.pdf
ASERT Donot March 2018,"Schwarz, D., Sopko J. (2018, March 08). Donot Team Leverages New Modular Malware Framework in South Asia. Retrieved June 11, 2018.",https://www.arbornetworks.com/blog/asert/donot-team-leverages-new-modular-malware-framework-south-asia/
ASERT InnaputRAT April 2018,"ASERT Team. (2018, April 04). Innaput Actors Utilize Remote Access Trojan Since 2016, Presumably Targeting Victim Files. Retrieved July 9, 2018.",https://asert.arbornetworks.com/innaput-actors-utilize-remote-access-trojan-since-2016-presumably-targeting-victim-files/
ASERT Seven Pointed Dagger Aug 2015,"ASERT. (2015, August). ASERT Threat Intelligence Report – Uncovering the Seven Pointed Dagger. Retrieved March 19, 2018.",https://www.arbornetworks.com/blog/asert/wp-content/uploads/2016/01/ASERT-Threat-Intelligence-Brief-2015-08-Uncovering-the-Seven-Point-Dagger.pdf
ATT Lazarus TTP Evolution,"Fernando Martinez. (2021, July 6). Lazarus campaign TTPs and evolution. Retrieved September 22, 2021.",https://cybersecurity.att.com/blogs/labs-research/lazarus-campaign-ttps-and-evolution
ATT QakBot April 2021,"Morrow, D. (2021, April 15). The rise of QakBot. Retrieved September 27, 2021.",https://cybersecurity.att.com/blogs/labs-research/the-rise-of-qakbot
ATT ScanBox,"Blasco, J. (2014, August 28). Scanbox: A Reconnaissance Framework Used with Watering Hole Attacks. Retrieved October 19, 2020.",https://cybersecurity.att.com/blogs/labs-research/scanbox-a-reconnaissance-framework-used-on-watering-hole-attacks
ATT Sidewinder January 2021,"Hegel, T. (2021, January 13). A Global Perspective of the SideWinder APT. Retrieved January 27, 2021.",https://cdn-cybersecurity.att.com/docs/global-perspective-of-the-sidewinder-apt.pdf
ATT TeamTNT Chimaera September 2020,"AT&T Alien Labs. (2021, September 8). TeamTNT with new campaign aka Chimaera. Retrieved September 22, 2021.",https://cybersecurity.att.com/blogs/labs-research/teamtnt-with-new-campaign-aka-chimaera
AWS - IAM Console Best Practices,"Moncur, Rob. (2020, July 5). New Information in the AWS IAM Console Helps You Follow IAM Best Practices. Retrieved August 4, 2020.",https://aws.amazon.com/blogs/security/newly-updated-features-in-the-aws-iam-console-help-you-adhere-to-iam-best-practices/
AWS Cloud Trail Backup API,"Amazon. (2020). Logging AWS Backup API Calls with AWS CloudTrail. Retrieved April 27, 2020.",https://docs.aws.amazon.com/aws-backup/latest/devguide/logging-using-cloudtrail.html
AWS CloudTrail Search,"Amazon. (n.d.). Search CloudTrail logs for API calls to EC2 Instances. Retrieved June 17, 2020.",https://aws.amazon.com/premiumsupport/knowledge-center/cloudtrail-search-api-calls/
AWS Console Sign-in Events,"Amazon. (n.d.). AWS Console Sign-in Events. Retrieved October 23, 2019.",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-aws-console-sign-in-events.html
AWS Create IAM User,"AWS. (n.d.). Creating an IAM User in Your AWS Account. Retrieved January 29, 2020.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_users_create.html
AWS Describe DB Instances,"Amazon Web Services. (n.d.). Retrieved May 28, 2021.",https://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_DescribeDBInstances.html
AWS EBS Snapshot Sharing,"Amazon Web Services. (n.d.). Share an Amazon EBS snapshot. Retrieved March 2, 2022.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-modifying-snapshot-permissions.html
AWS Get Bucket ACL,"Amazon Web Services. (n.d.). Retrieved May 28, 2021.",https://docs.aws.amazon.com/AmazonS3/latest/API/API_GetBucketAcl.html
AWS Get Public Access Block,"Amazon Web Services. (n.d.). Retrieved May 28, 2021.",https://docs.aws.amazon.com/AmazonS3/latest/API/API_GetPublicAccessBlock.html
AWS GetPasswordPolicy,"Amazon Web Services. (n.d.). AWS API GetAccountPasswordPolicy. Retrieved June 8, 2021.",https://docs.aws.amazon.com/IAM/latest/APIReference/API_GetAccountPasswordPolicy.html
AWS Head Bucket,"Amazon Web Services. (n.d.). AWS HeadBucket. Retrieved February 14, 2022.",https://docs.aws.amazon.com/AmazonS3/latest/API/API_HeadBucket.html
AWS IAM Policies and Permissions,"AWS. (n.d.). Policies and permissions in IAM. Retrieved April 1, 2022.",https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html
AWS Identity Federation,"Amazon. (n.d.). Identity Federation in AWS. Retrieved March 13, 2020.",https://aws.amazon.com/identity/federation/
AWS Instance Identity Documents,"Amazon. (n.d.). Instance identity documents. Retrieved April 2, 2021.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-identity-documents.html
AWS Instance Metadata API,"AWS. (n.d.). Instance Metadata and User Data. Retrieved July 18, 2019.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instance-metadata.html
AWS Lambda Redirector,"Adam Chester. (2020, February 25). AWS Lambda Redirector. Retrieved July 8, 2022.",https://blog.xpnsec.com/aws-lambda-redirector/
AWS List Roles,"Amazon. (n.d.). List Roles. Retrieved August 11, 2020.",https://docs.aws.amazon.com/cli/latest/reference/iam/list-roles.html
AWS List Users,"Amazon. (n.d.). List Users. Retrieved August 11, 2020.",https://docs.aws.amazon.com/cli/latest/reference/iam/list-users.html
AWS Logging IAM Calls,"AWS. (n.d.). Logging IAM and AWS STS API calls with AWS CloudTrail. Retrieved April 1, 2022.",https://docs.aws.amazon.com/IAM/latest/UserGuide/cloudtrail-integration.html
AWS Root User,"Amazon. (n.d.). AWS Account Root User. Retrieved April 5, 2021.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html
AWS Sec Groups VPC,"Amazon. (n.d.). Security groups for your VPC. Retrieved October 13, 2021.",https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html
AWS Temporary Security Credentials,"AWS. (n.d.). Requesting temporary security credentials. Retrieved April 1, 2022.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp_request.html
AWS Traffic Mirroring,"Amazon Web Services. (n.d.). How Traffic Mirroring works. Retrieved March 17, 2022.",https://docs.aws.amazon.com/vpc/latest/mirroring/traffic-mirroring-how-it-works.html
About UEFI,"UEFI Forum. (n.d.). About UEFI Forum. Retrieved January 5, 2016.",http://www.uefi.org/about
Accenture Dragonfish Jan 2018,"Accenture Security. (2018, January 27). DRAGONFISH DELIVERS NEW FORM OF ELISE MALWARE TARGETING ASEAN DEFENCE MINISTERS’ MEETING AND ASSOCIATES. Retrieved November 14, 2018.",https://www.accenture.com/t20180127T003755Z_w_/us-en/_acnmedia/PDF-46/Accenture-Security-Dragonfish-Threat-Analysis.pdf
Accenture Hogfish April 2018,"Accenture Security. (2018, April 23). Hogfish Redleaves Campaign. Retrieved July 2, 2018.",https://www.accenture.com/t20180423T055005Z_w_/se-en/_acnmedia/PDF-76/Accenture-Hogfish-Threat-Analysis.pdf
Accenture HyperStack October 2020,"Accenture. (2020, October). Turla uses HyperStack, Carbon, and Kazuar to compromise government entity. Retrieved December 2, 2020.",https://www.accenture.com/us-en/blogs/cyber-defense/turla-belugasturgeon-compromises-government-entity
Accenture Lyceum Targets November 2021,"Accenture. (2021, November 9). Who are latest targets of cyber group Lyceum?. Retrieved June 16, 2022.",https://www.accenture.com/us-en/blogs/cyber-defense/iran-based-lyceum-campaigns
Accenture MUDCARP March 2019,"Accenture iDefense Unit. (2019, March 5). Mudcarp's Focus on Submarine Technologies. Retrieved August 24, 2021.",https://www.accenture.com/us-en/blogs/cyber-defense/mudcarps-focus-on-submarine-technologies
Accenture SNAKEMACKEREL Nov 2018,"Accenture Security. (2018, November 29). SNAKEMACKEREL. Retrieved April 15, 2019.",https://www.accenture.com/t20181129T203820Z__w__/us-en/_acnmedia/PDF-90/Accenture-snakemackerel-delivers-zekapab-malware.pdf#zoom=50
ActiveMalwareEnergy,"Dan Goodin. (2014, June 30). Active malware operation let attackers sabotage US energy industry. Retrieved March 9, 2017.",https://arstechnica.com/information-technology/2014/06/active-malware-operation-let-attackers-sabotage-us-energy-industry/
AdSecurity Cracking Kerberos Dec 2015,"Metcalf, S. (2015, December 31). Cracking Kerberos TGS Tickets Using Kerberoast – Exploiting Kerberos to Compromise the Active Directory Domain. Retrieved March 22, 2018.",https://adsecurity.org/?p=2293
AdSecurity DCSync Sept 2015,"Metcalf, S. (2015, September 25). Mimikatz DCSync Usage, Exploitation, and Detection. Retrieved December 4, 2017.",https://adsecurity.org/?p=1729
AdSecurity Forging Trust Tickets,"Metcalf, S. (2015, July 15). It’s All About Trust – Forging Kerberos Trust Tickets to Spoof Access across Active Directory Trusts. Retrieved February 14, 2019.",https://adsecurity.org/?p=1588
AdSecurity Kerberos GT Aug 2015,"Metcalf, S. (2015, August 7). Kerberos Golden Tickets are Now More Golden. Retrieved December 1, 2017.",https://adsecurity.org/?p=1640
AdSecurity SID History Sept 2015,"Metcalf, S. (2015, September 19). Sneaky Active Directory Persistence #14: SID History. Retrieved November 30, 2017.",https://adsecurity.org/?p=1772
Add List Remove Login Items Apple Script,"kaloprominat. (2013, July 30). macos: manage add list remove login items apple script. Retrieved October 5, 2021.",https://gist.github.com/kaloprominat/6111584
AddMonitor,"Microsoft. (n.d.). AddMonitor function. Retrieved November 12, 2014.",http://msdn.microsoft.com/en-us/library/dd183341
Adding Login Items,"Apple. (2016, September 13). Adding Login Items. Retrieved July 11, 2017.",https://developer.apple.com/library/content/documentation/MacOSX/Conceptual/BPSystemStartup/Chapters/CreatingLoginItems.html
Adlice Software IAT Hooks Oct 2014,"Tigzy. (2014, October 15). Userland Rootkits: Part 1, IAT hooks. Retrieved December 12, 2017.",https://www.adlice.com/userland-rootkits-part-1-iat-hooks/
Adsecurity Mimikatz Guide,"Metcalf, S. (2015, November 13). Unofficial Guide to Mimikatz & Command Reference. Retrieved December 23, 2015.",https://adsecurity.org/?page_id=1821
Advanced_sec_audit_policy_settings,"Simpson, D. et al. (2017, April 19). Advanced security audit policy settings. Retrieved September 14, 2021.",https://docs.microsoft.com/en-us/windows/security/threat-protection/auditing/advanced-security-audit-policy-settings
Adventures of a Keystroke,"Tinaztepe,  E. (n.d.). The Adventures of a Keystroke:  An in-depth look into keyloggers on Windows. Retrieved April 27, 2016.",http://opensecuritytraining.info/Keylogging_files/The%20Adventures%20of%20a%20Keystroke.pdf
AhnLab Andariel Subgroup of Lazarus June 2018,"AhnLab. (2018, June 23). Targeted attacks by Andariel Threat Group,  a subgroup of the Lazarus. Retrieved September 29, 2021.",http://download.ahnlab.com/global/brochure/[Analysis]Andariel_Group.pdf
AhnLab Kimsuky Kabar Cobra Feb 2019,"AhnLab. (2019, February 28). Operation Kabar Cobra - Tenacious cyber-espionage campaign by Kimsuky Group. Retrieved September 29, 2021.",https://global.ahnlab.com/global/upload/download/techreport/[Analysis_Report]Operation%20Kabar%20Cobra.pdf
Airbus Derusbi 2015,"Perigaud, F. (2015, December 15). Newcomers in the Derusbi family. Retrieved December 20, 2017.",http://blog.airbuscybersecurity.com/post/2015/11/Newcomers-in-the-Derusbi-family
Airbus Security Kovter Analysis,"Dove, A. (2016, March 23). Fileless Malware – A Behavioural Analysis Of Kovter Persistence. Retrieved December 5, 2017.",https://airbus-cyber-security.com/fileless-malware-behavioural-analysis-kovter-persistence/
Akamai DGA Mitigation,"Liu, H. and Yuzifovich, Y. (2018, January 9). A Death Match of Domain Generation Algorithms. Retrieved February 18, 2019.",https://blogs.akamai.com/2018/01/a-death-match-of-domain-generation-algorithms.html
AlKhaser Debug,"Noteworthy. (2019, January 6). Al-Khaser. Retrieved April 1, 2022.",https://github.com/LordNoteworthy/al-khaser/tree/master/al-khaser/AntiDebug
Aleks Weapons Nov 2015,"Nick Aleks. (2015, November 7). Weapons of a Pentester - Understanding the virtual & physical tools used by white/black hat hackers. Retrieved March 30, 2018.",https://www.youtube.com/watch?v=lDvf4ScWbcQ
AlienVault Sykipot 2011,"Blasco, J. (2011, December 12). Another Sykipot sample likely targeting US federal agencies. Retrieved March 28, 2016.",https://www.alienvault.com/open-threat-exchange/blog/another-sykipot-sample-likely-targeting-us-federal-agencies
Alienvault Sykipot DOD Smart Cards,"Blasco, J. (2012, January 12). Sykipot variant hijacks DOD and Windows smart cards. Retrieved January 10, 2016.",https://www.alienvault.com/open-threat-exchange/blog/sykipot-variant-hijacks-dod-and-windows-smart-cards
Alintanahin 2014,"Alintanahin, K. (2014, March 13). Kunming Attack Leads to Gh0st RAT Variant. Retrieved November 12, 2014.",http://blog.trendmicro.com/trendlabs-security-intelligence/kunming-attack-leads-to-gh0st-rat-variant/
Almond COR_PROFILER Apr 2019,"Almond. (2019, April 30). UAC bypass via elevated .NET applications. Retrieved June 24, 2020.",https://offsec.almond.consulting/UAC-bypass-dotnet.html
Alperovitch 2014,"Alperovitch, D. (2014, July 7). Deep in Thought: Chinese Targeting of National Security Think Tanks. Retrieved November 12, 2014.",https://web.archive.org/web/20200424075623/https:/www.crowdstrike.com/blog/deep-thought-chinese-targeting-national-security-think-tanks/
Alperovitch Malware,"Alperovitch, D. (2014, October 31). Malware-Free Intrusions. Retrieved November 4, 2014.",http://blog.crowdstrike.com/adversary-tricks-crowdstrike-treats/
Amazon  AWS Temporary Security Credentials,"Amazon. (n.d.). Temporary Security Credentials. Retrieved October 18, 2019.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp.html
Amazon AMI,"Amazon. (n.d.). Amazon Machine Images (AMI). Retrieved October 13, 2021.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AMIs.html
Amazon AWS,"Amazon. (n.d.). Start Building on AWS Today. Retrieved October 13, 2021.",https://aws.amazon.com
Amazon AWS IMDS V2,"MacCarthaigh, C. (2019, November 19). Add defense in depth against open firewalls, reverse proxies, and SSRF vulnerabilities with enhancements to the EC2 Instance Metadata Service. Retrieved October 14, 2020.",https://aws.amazon.com/blogs/security/defense-in-depth-open-firewalls-reverse-proxies-ssrf-vulnerabilities-ec2-instance-metadata-service/
Amazon AWS VPC Guide,"Amazon. (n.d.). What Is Amazon VPC?. Retrieved October 6, 2019.",https://docs.aws.amazon.com/vpc/latest/userguide/what-is-amazon-vpc.html
Amazon Describe Instance,"Amazon. (n.d.). describe-instance-information. Retrieved March 3, 2020.",https://docs.aws.amazon.com/cli/latest/reference/ssm/describe-instance-information.html
Amazon Describe Instances API,"Amazon. (n.d.). DescribeInstances. Retrieved May 26, 2020.",https://docs.aws.amazon.com/AWSEC2/latest/APIReference/API_DescribeInstances.html
Amazon IAM Groups,"Amazon. (n.d.). IAM user groups. Retrieved October 13, 2021.",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_groups.html
Amazon S3,"Amazon. (n.d.). Amazon S3. Retrieved October 13, 2021.",https://aws.amazon.com/s3/
"Amazon S3 Security, 2019","Amazon. (2019, May 17). How can I secure the files in my Amazon S3 bucket?. Retrieved October 4, 2019.",https://aws.amazon.com/premiumsupport/knowledge-center/secure-s3-resources/
Amazon Snapshots,"Amazon. (n.d.). Amazon EBS snapshots. Retrieved October 13, 2021.",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSSnapshots.html
Amazon VM,"Microsoft. (n.d.). What is a virtual machine (VM)?. Retrieved October 13, 2021.",https://azure.microsoft.com/en-us/overview/what-is-a-virtual-machine/
Amnesty Intl. Ocean Lotus February 2021,"Amnesty International. (2021, February 24). Vietnamese activists targeted by notorious hacking group. Retrieved March 1, 2021.",https://www.amnestyusa.org/wp-content/uploads/2021/02/Click-and-Bait_Vietnamese-Human-Rights-Defenders-Targeted-with-Spyware-Attacks.pdf
"Amnesty OAuth Phishing Attacks, August 2019","Amnesty International. (2019, August 16). Evolving Phishing Attacks Targeting Journalists and Human Rights Defenders from the Middle-East and North Africa. Retrieved October 8, 2019.",https://www.amnesty.org/en/latest/research/2019/08/evolving-phishing-attacks-targeting-journalists-and-human-rights-defenders-from-the-middle-east-and-north-africa/
Amplia WCE,"Amplia Security. (n.d.). Windows Credentials Editor (WCE) F.A.Q.. Retrieved December 17, 2015.",http://www.ampliasecurity.com/research/wcefaq.html
Analyzing CS Dec 2020,"Maynier, E. (2020, December 20). Analyzing Cobalt Strike for Fun and Profit. Retrieved October 12, 2021.",https://www.randhome.io/blog/2020/12/20/analyzing-cobalt-strike-for-fun-and-profit/
Anomali Evasive Maneuvers July 2015,"Shelmire, A. (2015, July 06). Evasive Maneuvers by the Wekby group with custom ROP-packing and DNS covert channels. Retrieved November 15, 2018.",https://www.anomali.com/blog/evasive-maneuvers-the-wekby-group-attempts-to-evade-analysis-via-custom-rop
Anomali Linux Rabbit 2018,"Anomali Labs. (2018, December 6). Pulling Linux Rabbit/Rabbot Malware Out of a Hat. Retrieved March 4, 2019.",https://www.anomali.com/blog/pulling-linux-rabbit-rabbot-malware-out-of-a-hat
Anomali MUSTANG PANDA October 2019,"Anomali Threat Research. (2019, October 7). China-Based APT Mustang Panda Targets Minority Groups, Public and Private Sector Organizations. Retrieved April 12, 2021.",https://www.anomali.com/blog/china-based-apt-mustang-panda-targets-minority-groups-public-and-private-sector-organizations
Anomali Pirate Panda April 2020,"Moore, S. et al. (2020, April 30). Anomali Suspects that China-Backed APT Pirate Panda May Be Seeking Access to Vietnam Government Data Center. Retrieved May 19, 2020.",https://www.anomali.com/blog/anomali-suspects-that-china-backed-apt-pirate-panda-may-be-seeking-access-to-vietnam-government-data-center#When:15:00:00Z
Anomali Rocke March 2019,"Anomali Labs. (2019, March 15). Rocke Evolves Its Arsenal With a New Malware Family Written in Golang. Retrieved April 24, 2019.",https://www.anomali.com/blog/rocke-evolves-its-arsenal-with-a-new-malware-family-written-in-golang
Anomali Static Kitten February 2021,"Mele, G. et al. (2021, February 10). Probable Iranian Cyber Actors, Static Kitten, Conducting Cyberespionage Campaign Targeting UAE and Kuwait Government Agencies. Retrieved March 17, 2021.",https://www.anomali.com/blog/probable-iranian-cyber-actors-static-kitten-conducting-cyberespionage-campaign-targeting-uae-and-kuwait-government-agencies
Anomali Template Injection MAR 2018,"Intel_Acquisition_Team. (2018, March 1). Credential Harvesting and Malicious File Delivery using Microsoft Office Template Injection. Retrieved July 20, 2018.",https://forum.anomali.com/t/credential-harvesting-and-malicious-file-delivery-using-microsoft-office-template-injection/2104
AnonHBGary,"Bright, P. (2011, February 15). Anonymous speaks: the inside story of the HBGary hack. Retrieved March 9, 2017.",https://arstechnica.com/tech-policy/2011/02/anonymous-speaks-the-inside-story-of-the-hbgary-hack/
Anonymous Hackers Deface Russian Govt Site,"Andy. (2018, May 12). ‘Anonymous’ Hackers Deface Russian Govt. Site to Protest Web-Blocking (NSFW). Retrieved April 19, 2019.",https://torrentfreak.com/anonymous-hackers-deface-russian-govt-site-to-protest-web-blocking-nsfw-180512/
Antiquated Mac Malware,"Thomas Reed. (2017, January 18). New Mac backdoor using antiquated code. Retrieved July 5, 2017.",https://blog.malwarebytes.com/threat-analysis/2017/01/new-mac-backdoor-using-antiquated-code/
Antiy CERT Ramsay April 2020,"Antiy CERT. (2020, April 20). Analysis of Ramsay components of Darkhotel's infiltration and isolation network. Retrieved March 24, 2021.",https://www.programmersought.com/article/62493896999/
AnyRun TimeBomb,"Malicious History. (2020, September 17). Time Bombs: Malware With Delayed Execution. Retrieved April 22, 2021.",https://any.run/cybersecurity-blog/time-bombs-malware-with-delayed-execution/
AppInit Registry,"Microsoft. (2006, October). Working with the AppInit_DLLs registry value. Retrieved July 15, 2015.",https://support.microsoft.com/en-us/kb/197571
AppInit Secure Boot,"Microsoft. (n.d.). AppInit DLLs and Secure Boot. Retrieved July 15, 2015.",https://msdn.microsoft.com/en-us/library/dn280412
Apple About Mac Scripting 2016,"Apple. (2016, June 13). About Mac Scripting. Retrieved April 14, 2021.",https://developer.apple.com/library/archive/documentation/LanguagesUtilities/Conceptual/MacAutomationScriptingGuide/index.html
Apple App Security Overview,"Apple Inc. (2021, February 18). App security overview. Retrieved October 12, 2021.",https://support.apple.com/guide/security/app-security-overview-sec35dd877d0/1/web/1
Apple AppleScript,"Apple. (2016, January 25). Introduction to AppleScript Language Guide. Retrieved March 28, 2020.",https://developer.apple.com/library/archive/documentation/AppleScript/Conceptual/AppleScriptLangGuide/introduction/ASLR_intro.html
Apple Core Services,"Apple. (n.d.). Core Services. Retrieved June 25, 2020.",https://developer.apple.com/documentation/coreservices
Apple Culprit Access,"rjben. (2012, May 30). How do you find the culprit when unauthorized access to a computer is a problem?. Retrieved August 3, 2022.",https://discussions.apple.com/thread/3991574
Apple Developer Configuration Profile,"Apple. (2019, May 3). Configuration Profile Reference. Retrieved September 23, 2021.",https://developer.apple.com/business/documentation/Configuration-Profile-Reference.pdf
Apple Developer Doco Archive Launchd,"Apple. (2016, September 13). Daemons and Services Programming Guide - Creating Launch Daemons and Agents. Retrieved February 24, 2021.",https://developer.apple.com/library/archive/documentation/MacOSX/Conceptual/BPSystemStartup/Chapters/CreatingLaunchdJobs.html
