ID,name,description,url,created,last modified,version,contributors,associated groups,associated groups citations,relationship citations
G0013,APT30,"[APT30](https://attack.mitre.org/groups/G0013) is a threat group suspected to be associated with the Chinese government. While [Naikon](https://attack.mitre.org/groups/G0019) shares some characteristics with [APT30](https://attack.mitre.org/groups/G0013), the two groups do not appear to be exact matches.(Citation: FireEye APT30)(Citation: Baumgartner Golovkin Naikon 2015)",https://attack.mitre.org/groups/G0013,31 May 2017,29 July 2020,1.1,,,,"(Citation: FireEye APT30),(Citation: FireEye APT30),"
G0050,APT32,"[APT32](https://attack.mitre.org/groups/G0050) is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia. They have extensively used strategic web compromises to compromise victims.(Citation: FireEye APT32 May 2017)(Citation: Volexity OceanLotus Nov 2017)(Citation: ESET OceanLotus)",https://attack.mitre.org/groups/G0050,14 December 2017,14 October 2021,2.5,"Romain Dumont, ESET","APT-C-00, OceanLotus, SeaLotus","(Citation: ESET OceanLotus)(Citation: Cybereason Oceanlotus May 2017)(Citation: ESET OceanLotus Mar 2019)(Citation: Amnesty Intl. Ocean Lotus February 2021), (Citation: FireEye APT32 May 2017)(Citation: Volexity OceanLotus Nov 2017)(Citation: Cybereason Oceanlotus May 2017)(Citation: ESET OceanLotus Mar 2019)(Citation: Amnesty Intl. Ocean Lotus February 2021), (Citation: Cybereason Oceanlotus May 2017)","(Citation: Volexity OceanLotus Nov 2017),(Citation: Unit 42 KerrDown February 2019),(Citation: Cybereason Cobalt Kitty 2017),(Citation: FireEye APT32 May 2017),(Citation: Volexity Ocean Lotus November 2020),(Citation: Amnesty Intl. Ocean Lotus February 2021),(Citation: Cybereason Oceanlotus May 2017),(Citation: TrendMicro MacOS April 2018),(Citation: Volexity OceanLotus Nov 2017),(Citation: Cybereason Cobalt Kitty 2017),(Citation: FireEye APT32 May 2017),(Citation: ESET OceanLotus),(Citation: GitHub Invoke-Obfuscation),(Citation: Volexity Ocean Lotus November 2020),(Citation: Amnesty Intl. Ocean Lotus February 2021),(Citation: FireEye APT32 April 2020),(Citation: Cybereason Oceanlotus May 2017),(Citation: ESET OceanLotus Mar 2019),(Citation: Twitter ItsReallyNick APT32 pubprn Masquerade),(Citation: Twitter ItsReallyNick Status Update APT32 PubPrn),(Citation: ESET OceanLotus macOS April 2019),"
G0064,APT33,"[APT33](https://attack.mitre.org/groups/G0064) is a suspected Iranian threat group that has carried out operations since at least 2013. The group has targeted organizations across multiple industries in the United States, Saudi Arabia, and South Korea, with a particular interest in the aviation and energy sectors. (Citation: FireEye APT33 Sept 2017) (Citation: FireEye APT33 Webinar Sept 2017)",https://attack.mitre.org/groups/G0064,18 April 2018,23 May 2022,1.4,Dragos  Threat  Intelligence,"Elfin, HOLMIUM","(Citation: Symantec Elfin Mar 2019), (Citation: Microsoft Holmium June 2020)","(Citation: Microsoft Holmium June 2020),(Citation: FireEye APT33 Webinar Sept 2017),(Citation: FireEye APT33 Guardrail),(Citation: Symantec Elfin Mar 2019),(Citation: FireEye APT33 Sept 2017),(Citation: Microsoft Holmium June 2020),(Citation: FireEye APT33 Webinar Sept 2017),(Citation: FireEye APT33 Guardrail),(Citation: Symantec Elfin Mar 2019),(Citation: FireEye APT33 Sept 2017),"
G0067,APT37,"[APT37](https://attack.mitre.org/groups/G0067) is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal, China, India, Romania, Kuwait, and other parts of the Middle East. [APT37](https://attack.mitre.org/groups/G0067) has also been linked to the following campaigns between 2016-2018: Operation Daybreak, Operation Erebus, Golden Time, Evil New Year, Are you Happy?, FreeMilk, North Korean Human Rights, and Evil New Year 2018.(Citation: FireEye APT37 Feb 2018)(Citation: Securelist ScarCruft Jun 2016)(Citation: Talos Group123)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.",https://attack.mitre.org/groups/G0067,18 April 2018,15 October 2021,2.0,"Valerii Marchuk, Cybersecurity Help s.r.o.","Group123, InkySquid, Reaper, Richochet Chollima, ScarCruft, TEMP.Reaper","(Citation: FireEye APT37 Feb 2018), (Citation: Volexity InkySquid BLUELIGHT August 2021), (Citation: FireEye APT37 Feb 2018), (Citation: CrowdStrike Richochet Chollima September 2021), (Citation: Securelist ScarCruft Jun 2016)(Citation: FireEye APT37 Feb 2018)(Citation: Securelist ScarCruft May 2019), (Citation: FireEye APT37 Feb 2018)","(Citation: Volexity InkySquid BLUELIGHT August 2021),(Citation: Talos NavRAT May 2018),(Citation: Unit 42 Nokki Oct 2018),(Citation: Securelist ScarCruft May 2019),(Citation: Talos Group123),(Citation: FireEye APT37 Feb 2018),(Citation: Volexity InkySquid BLUELIGHT August 2021),(Citation: Volexity InkySquid RokRAT August 2021),(Citation: Securelist ScarCruft Jun 2016),(Citation: Securelist ScarCruft May 2019),(Citation: Talos Group123),(Citation: FireEye APT37 Feb 2018),"
G0082,APT38,"[APT38](https://attack.mitre.org/groups/G0082) is a North Korean state-sponsored threat group that specializes in financial cyber operations; it has been attributed to the Reconnaissance General Bureau.(Citation: CISA AA20-239A BeagleBoyz August 2020) Active since at least 2014, [APT38](https://attack.mitre.org/groups/G0082) has targeted banks, financial institutions, casinos, cryptocurrency exchanges, SWIFT system endpoints, and ATMs in at least 38 countries worldwide. Significant operations include the 2016 Bank of Bangladesh heist, during which [APT38](https://attack.mitre.org/groups/G0082) stole $81 million, as well as attacks against Bancomext (2018) and Banco de Chile (2018); some of their attacks have been destructive.(Citation: CISA AA20-239A BeagleBoyz August 2020)(Citation: FireEye APT38 Oct 2018)(Citation: DOJ North Korea Indictment Feb 2021)(Citation: Kaspersky Lazarus Under The Hood Blog 2017)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.",https://attack.mitre.org/groups/G0082,29 January 2019,18 January 2022,2.0,,"BeagleBoyz, Bluenoroff, NICKEL GLADSTONE, Stardust Chollima","(Citation: CISA AA20-239A BeagleBoyz August 2020), (Citation: Kaspersky Lazarus Under The Hood Blog 2017), (Citation: SecureWorks NICKEL GLADSTONE profile Sept 2021), (Citation: CrowdStrike Stardust Chollima Profile April 2018)(Citation: CrowdStrike GTR 2021 June 2021)","(Citation: ESET Lazarus KillDisk April 2018),(Citation: FireEye APT38 Oct 2018),(Citation: CISA AA20-239A BeagleBoyz August 2020),(Citation: ESET Lazarus KillDisk April 2018),(Citation: FireEye APT38 Oct 2018),(Citation: Kaspersky Lazarus Under The Hood APR 2017),(Citation: CISA AA20-239A BeagleBoyz August 2020),"
G0087,APT39,"[APT39](https://attack.mitre.org/groups/G0087) is one of several names for cyber espionage activity conducted by the Iranian Ministry of Intelligence and Security (MOIS) through the front company Rana Intelligence Computing since at least 2014. [APT39](https://attack.mitre.org/groups/G0087) has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS.(Citation: FireEye APT39 Jan 2019)(Citation: Symantec Chafer Dec 2015)(Citation: FBI FLASH APT39 September 2020)(Citation: Dept. of Treasury Iran Sanctions September 2020)(Citation: DOJ Iran Indictments September 2020)",https://attack.mitre.org/groups/G0087,19 February 2019,02 September 2022,3.1,,"Chafer, ITG07, Remix Kitten","Activities associated with APT39 largely align with a group publicly referred to as Chafer.(Citation: FireEye APT39 Jan 2019)(Citation: Symantec Chafer Dec 2015)(Citation: Dark Reading APT39 JAN 2019)(Citation: FBI FLASH APT39 September 2020)(Citation: Dept. of Treasury Iran Sanctions September 2020)(Citation: DOJ Iran Indictments September 2020), (Citation: FBI FLASH APT39 September 2020)(Citation: Dept. of Treasury Iran Sanctions September 2020)(Citation: DOJ Iran Indictments September 2020), (Citation: Crowdstrike GTR2020 Mar 2020)","(Citation: Symantec Chafer Dec 2015),(Citation: Unit 42 MechaFlounder March 2019),(Citation: Symantec Chafer February 2018),(Citation: FBI FLASH APT39 September 2020),(Citation: Dark Reading APT39 JAN 2019),(Citation: BitDefender Chafer May 2020),(Citation: Securelist Remexi Jan 2019),(Citation: FireEye APT39 Jan 2019),(Citation: Symantec Chafer Dec 2015),(Citation: Symantec Chafer February 2018),(Citation: FBI FLASH APT39 September 2020),(Citation: BitDefender Chafer May 2020),(Citation: IBM ITG07 June 2019),(Citation: FireEye APT39 Jan 2019),"
G0096,APT41,"[APT41](https://attack.mitre.org/groups/G0096) is a threat group that researchers have assessed as Chinese state-sponsored espionage group that also conducts financially-motivated operations. Active since at least 2012, [APT41](https://attack.mitre.org/groups/G0096) has been observed targeting healthcare, telecom, technology, and video game industries in 14 countries. [APT41](https://attack.mitre.org/groups/G0096) overlaps at least partially with public reporting on groups including BARIUM and [Winnti Group](https://attack.mitre.org/groups/G0044).(Citation: FireEye APT41 Aug 2019)(Citation: Group IB APT 41 June 2021)
",https://attack.mitre.org/groups/G0096,23 September 2019,02 June 2022,3.0,"Kyaw Pyiyt Htet, @KyawPyiytHtet",Wicked Panda,(Citation: Crowdstrike GTR2020 Mar 2020),"(Citation: FireEye APT41 March 2020),(Citation: Recorded Future RedEcho Feb 2021),(Citation: Group IB APT 41 June 2021),(Citation: Crowdstrike GTR2020 Mar 2020),(Citation: FireEye MESSAGETAP October 2019),(Citation: FireEye APT41 Aug 2019),(Citation: FireEye APT41 March 2020),(Citation: Group IB APT 41 June 2021),(Citation: Twitter ItsReallyNick APT41 EK),(Citation: Crowdstrike GTR2020 Mar 2020),(Citation: FireEye APT41 Aug 2019),"
G0130,Ajax Security Team,[Ajax Security Team](https://attack.mitre.org/groups/G0130) is a group that has been active since at least 2010 and believed to be operating out of Iran. By 2014 [Ajax Security Team](https://attack.mitre.org/groups/G0130) transitioned from website defacement operations to malware-based cyber espionage campaigns targeting the US defense industrial base and Iranian users of anti-censorship technologies.(Citation: FireEye Operation Saffron Rose 2013),https://attack.mitre.org/groups/G0130,14 April 2021,17 December 2021,1.0,,"AjaxTM, Flying Kitten, Operation Saffron Rose, Operation Woolen-Goldfish, Rocket Kitten","(Citation: FireEye Operation Saffron Rose 2013), (Citation: CrowdStrike Flying Kitten ), (Citation: FireEye Operation Saffron Rose 2013), Analysis of infrastructure, tools, and modes of operation revealed a potential relationship between [Ajax Security Team](https://attack.mitre.org/groups/G0130) and the campaign Operation Woolen-Goldfish.(Citation: Check Point Rocket Kitten)(Citation: TrendMicro Operation Woolen Goldfish March 2015), Analysis of infrastructure, tools, and modes of operation revealed a potential relationship between [Ajax Security Team](https://attack.mitre.org/groups/G0130) and Rocket Kitten.(Citation: Check Point Rocket Kitten)(Citation: IranThreats Kittens Dec 2017)","(Citation: Check Point Rocket Kitten),(Citation: FireEye Operation Saffron Rose 2013),(Citation: Check Point Rocket Kitten),"
G0138,Andariel,"[Andariel](https://attack.mitre.org/groups/G0138) is a North Korean state-sponsored threat group that has been active since at least 2009. [Andariel](https://attack.mitre.org/groups/G0138) has primarily focused its operations--which have included destructive attacks--against South Korean government agencies, military organizations, and a variety of domestic companies; they have also conducted cyber financial operations against ATMs, banks, and cryptocurrency exchanges. [Andariel](https://attack.mitre.org/groups/G0138)'s notable activity includes Operation Black Mine, Operation GoldenAxe, and Campaign Rifle.(Citation: FSI Andariel Campaign Rifle July 2017)(Citation: IssueMakersLab Andariel GoldenAxe May 2017)(Citation: AhnLab Andariel Subgroup of Lazarus June 2018)(Citation: TrendMicro New Andariel Tactics July 2018)(Citation: CrowdStrike Silent Chollima Adversary September 2021)

[Andariel](https://attack.mitre.org/groups/G0138) is considered a sub-set of [Lazarus Group](https://attack.mitre.org/groups/G0032), and has been attributed to North Korea's Reconnaissance General Bureau.(Citation: Treasury North Korean Cyber Groups September 2019)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.",https://attack.mitre.org/groups/G0138,29 September 2021,24 May 2022,1.0,Kyoung-ju Kwak (S2W),Silent Chollima,(Citation: CrowdStrike Silent Chollima Adversary September 2021),"(Citation: AhnLab Andariel Subgroup of Lazarus June 2018),(Citation: Kaspersky Andariel Ransomware June 2021),(Citation: MalwareBytes Lazarus-Andariel Conceals Code April 2021),(Citation: AhnLab Andariel Subgroup of Lazarus June 2018),(Citation: FSI Andariel Campaign Rifle July 2017),(Citation: TrendMicro New Andariel Tactics July 2018),(Citation: IssueMakersLab Andariel GoldenAxe May 2017),"
G1007,Aoqin Dragon,"[Aoqin Dragon](https://attack.mitre.org/groups/G1007) is a suspected Chinese cyber espionage threat group that has been active since at least 2013. [Aoqin Dragon](https://attack.mitre.org/groups/G1007) has primarily targeted government, education, and telecommunication organizations in Australia, Cambodia, Hong Kong, Singapore, and Vietnam. Security researchers noted a potential association between [Aoqin Dragon](https://attack.mitre.org/groups/G1007) and UNC94, based on malware, infrastructure, and targets.(Citation: SentinelOne Aoqin Dragon June 2022)",https://attack.mitre.org/groups/G1007,14 July 2022,21 October 2022,1.0,"Hiroki Nagahama, NEC Corporation; Manikantan Srinivasan , NEC Corporation India; Pooja Natarajan, NEC Corporation India",,,"(Citation: SentinelOne Aoqin Dragon June 2022),(Citation: SentinelOne Aoqin Dragon June 2022),"
G0143,Aquatic Panda,"[Aquatic Panda](https://attack.mitre.org/groups/G0143) is a suspected China-based threat group with a dual mission of intelligence collection and industrial espionage. Active since at least May 2020, [Aquatic Panda](https://attack.mitre.org/groups/G0143) has primarily targeted entities in the telecommunications, technology, and government sectors.(Citation: CrowdStrike AQUATIC PANDA December 2021)",https://attack.mitre.org/groups/G0143,18 January 2022,29 June 2022,1.0,"Hiroki Nagahama, NEC Corporation; Manikantan Srinivasan, NEC Corporation India; NST Assure Research Team, NetSentries Technologies; Pooja Natarajan, NEC Corporation India",,,"(Citation: CrowdStrike AQUATIC PANDA December 2021),(Citation: CrowdStrike AQUATIC PANDA December 2021),"
G0001,Axiom,"[Axiom](https://attack.mitre.org/groups/G0001) is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008. Some reporting suggests a degree of overlap between [Axiom](https://attack.mitre.org/groups/G0001) and [Winnti Group](https://attack.mitre.org/groups/G0044) but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.(Citation: Kaspersky Winnti April 2013)(Citation: Kaspersky Winnti June 2015)(Citation: Novetta Winnti April 2015)",https://attack.mitre.org/groups/G0001,31 May 2017,15 April 2022,2.0,,Group 72,(Citation: Cisco Group 72),"(Citation: Talos ZxShell Oct 2014),(Citation: Cisco Group 72),(Citation: Novetta-Axiom),(Citation: Cisco Group 72),(Citation: Novetta-Axiom),"
G1002,BITTER,"[BITTER](https://attack.mitre.org/groups/G1002) is a suspected South Asian cyber espionage threat group that has been active since at least 2013. [BITTER](https://attack.mitre.org/groups/G1002) has primarily targeted government, energy, and engineering organizations in Pakistan, China, Bangladesh, and Saudi Arabia.(Citation: Cisco Talos Bitter Bangladesh May 2022)(Citation: Forcepoint BITTER Pakistan Oct 2016)",https://attack.mitre.org/groups/G1002,01 June 2022,01 June 2022,1.0,,T-APT-17,(Citation: Cisco Talos Bitter Bangladesh May 2022),"(Citation: Cisco Talos Bitter Bangladesh May 2022),(Citation: Microsoft CVE-2021-1732 Feb 2021),(Citation: Forcepoint BITTER Pakistan Oct 2016),(Citation: DBAPPSecurity BITTER zero-day Feb 2021),(Citation: Cisco Talos Bitter Bangladesh May 2022),"
G0060,BRONZE BUTLER,"[BRONZE BUTLER](https://attack.mitre.org/groups/G0060) is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly those in government, biotechnology, electronics manufacturing, and industrial chemistry.(Citation: Trend Micro Daserf Nov 2017)(Citation: Secureworks BRONZE BUTLER Oct 2017)(Citation: Trend Micro Tick November 2019)",https://attack.mitre.org/groups/G0060,16 January 2018,12 October 2021,1.3,Trend Micro Incorporated,"REDBALDKNIGHT, Tick","(Citation: Trend Micro Daserf Nov 2017)(Citation: Trend Micro Tick November 2019), (Citation: Trend Micro Daserf Nov 2017)(Citation: Symantec Tick Apr 2016)(Citation: Trend Micro Tick November 2019)","(Citation: Recorded Future RedEcho Feb 2021),(Citation: Trend Micro Tick November 2019),(Citation: Secureworks BRONZE BUTLER Oct 2017),(Citation: Trend Micro Daserf Nov 2017),(Citation: Symantec Tick Apr 2016),(Citation: Symantec Tick Apr 2016),(Citation: Secureworks BRONZE BUTLER Oct 2017),(Citation: Trend Micro Tick November 2019),"
G0135,BackdoorDiplomacy,"[BackdoorDiplomacy](https://attack.mitre.org/groups/G0135) is a cyber espionage threat group that has been active since at least 2017. [BackdoorDiplomacy](https://attack.mitre.org/groups/G0135) has targeted Ministries of Foreign Affairs and telecommunication companies in Africa, Europe, the Middle East, and Asia.(Citation: ESET BackdoorDiplomacy Jun 2021)",https://attack.mitre.org/groups/G0135,21 September 2021,18 October 2021,1.0,"Zaw Min Htun, @Z3TAE",,,"(Citation: ESET BackdoorDiplomacy Jun 2021),(Citation: ESET BackdoorDiplomacy Jun 2021),"
G0063,BlackOasis,"[BlackOasis](https://attack.mitre.org/groups/G0063) is a Middle Eastern threat group that is believed to be a customer of Gamma Group. The group has shown interest in prominent figures in the United Nations, as well as opposition bloggers, activists, regional news correspondents, and think tanks. (Citation: Securelist BlackOasis Oct 2017) (Citation: Securelist APT Trends Q2 2017) A group known by Microsoft as [NEODYMIUM](https://attack.mitre.org/groups/G0055) is reportedly associated closely with [BlackOasis](https://attack.mitre.org/groups/G0063) operations, but evidence that the group names are aliases has not been identified. (Citation: CyberScoop BlackOasis Oct 2017)",https://attack.mitre.org/groups/G0063,18 April 2018,17 October 2018,1.0,,,,",(Citation: Securelist BlackOasis Oct 2017),"
G0098,BlackTech,"[BlackTech](https://attack.mitre.org/groups/G0098) is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013. [BlackTech](https://attack.mitre.org/groups/G0098) has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks.(Citation: TrendMicro BlackTech June 2017)(Citation: Symantec Palmerworm Sep 2020)(Citation: Reuters Taiwan BlackTech August 2020)",https://attack.mitre.org/groups/G0098,05 May 2020,06 April 2022,2.0,"Hannah Simes, BT Security; Tatsuya Daitoku, Cyber Defense Institute, Inc.",Palmerworm,(Citation: Symantec Palmerworm Sep 2020)(Citation: IronNet BlackTech Oct 2021),"(Citation: JPCert PLEAD Downloader June 2018),(Citation: TrendMicro BlackTech June 2017),(Citation: Trend Micro Waterbear December 2019),(Citation: Symantec Palmerworm Sep 2020),(Citation: NTT Security Flagpro new December 2021),(Citation: JPCert TSCookie March 2018),(Citation: TrendMicro BlackTech June 2017),(Citation: Symantec Palmerworm Sep 2020),(Citation: Trend Micro Waterbear December 2019),(Citation: IronNet BlackTech Oct 2021),(Citation: ESET PLEAD Malware July 2018),(Citation: NTT Security Flagpro new December 2021),"
G0108,Blue Mockingbird,[Blue Mockingbird](https://attack.mitre.org/groups/G0108) is a cluster of observed activity involving Monero cryptocurrency-mining payloads in dynamic-link library (DLL) form on Windows systems. The earliest observed Blue Mockingbird tools were created in December 2019.(Citation: RedCanary Mockingbird May 2020),https://attack.mitre.org/groups/G0108,26 May 2020,12 October 2021,1.1,"Tony Lambert, Red Canary",,,"(Citation: RedCanary Mockingbird May 2020),(Citation: RedCanary Mockingbird May 2020),"
G0008,Carbanak,[Carbanak](https://attack.mitre.org/groups/G0008) is a cybercriminal group that has used [Carbanak](https://attack.mitre.org/software/S0030) malware to target financial institutions since at least 2013. [Carbanak](https://attack.mitre.org/groups/G0008) may be linked to groups tracked separately as [Cobalt Group](https://attack.mitre.org/groups/G0080) and [FIN7](https://attack.mitre.org/groups/G0046) that have also used [Carbanak](https://attack.mitre.org/software/S0030) malware.(Citation: Kaspersky Carbanak)(Citation: FireEye FIN7 April 2017)(Citation: Europol Cobalt Mar 2018)(Citation: Secureworks GOLD NIAGARA Threat Profile)(Citation: Secureworks GOLD KINGSWOOD Threat Profile),https://attack.mitre.org/groups/G0008,31 May 2017,18 October 2021,2.0,Anastasios Pingios,Anunak,(Citation: Fox-It Anunak Feb 2015),"(Citation: Group-IB Anunak),(Citation: Kaspersky Carbanak),(Citation: Forcepoint Carbanak Google C2),(Citation: Kaspersky Carbanak),(Citation: Group-IB Anunak),"
G0114,Chimera,[Chimera](https://attack.mitre.org/groups/G0114) is a suspected China-based threat group that has been active since at least 2018 targeting the semiconductor industry in Taiwan as well as data from the airline industry.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021),https://attack.mitre.org/groups/G0114,24 August 2020,25 March 2022,2.1,,,,"(Citation: NCC Group Chimera January 2021),(Citation: Cycraft Chimera April 2020),(Citation: NCC Group Chimera January 2021),(Citation: Cycraft Chimera April 2020),"
G0003,Cleaver,[Cleaver](https://attack.mitre.org/groups/G0003) is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. (Citation: Cylance Cleaver) Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). (Citation: Dell Threat Group 2889),https://attack.mitre.org/groups/G0003,31 May 2017,22 July 2022,1.3,,"TG-2889, Threat Group 2889","(Citation: Dell Threat Group 2889), (Citation: Dell Threat Group 2889)","(Citation: Cylance Cleaver),(Citation: Dell Threat Group 2889),(Citation: Cylance Cleaver),"
G0080,Cobalt Group,"[Cobalt Group](https://attack.mitre.org/groups/G0080) is a financially motivated threat group that has primarily targeted financial institutions since at least 2016. The group has conducted intrusions to steal money via targeting ATM systems, card processing, payment systems and SWIFT systems. [Cobalt Group](https://attack.mitre.org/groups/G0080) has mainly targeted banks in Eastern Europe, Central Asia, and Southeast Asia. One of the alleged leaders was arrested in Spain in early 2018, but the group still appears to be active. The group has been known to target organizations in order to use their access to then compromise additional victims.(Citation: Talos Cobalt Group July 2018)(Citation: PTSecurity Cobalt Group Aug 2017)(Citation: PTSecurity Cobalt Dec 2016)(Citation: Group IB Cobalt Aug 2017)(Citation: Proofpoint Cobalt June 2017)(Citation: RiskIQ Cobalt Nov 2017)(Citation: RiskIQ Cobalt Jan 2018) Reporting indicates there may be links between [Cobalt Group](https://attack.mitre.org/groups/G0080) and both the malware [Carbanak](https://attack.mitre.org/software/S0030) and the group [Carbanak](https://attack.mitre.org/groups/G0008).(Citation: Europol Cobalt Mar 2018)",https://attack.mitre.org/groups/G0080,17 October 2018,18 October 2021,2.0,,"Cobalt Gang, Cobalt Spider, GOLD KINGSWOOD","(Citation: Talos Cobalt Group July 2018) (Citation: Crowdstrike Global Threat Report Feb 2018)(Citation: Morphisec Cobalt Gang Oct 2018), (Citation: Crowdstrike Global Threat Report Feb 2018), (Citation: Secureworks GOLD KINGSWOOD September 2018)","(Citation: Talos Cobalt Group July 2018),(Citation: RiskIQ Cobalt Nov 2017),(Citation: Crowdstrike Global Threat Report Feb 2018),(Citation: PTSecurity Cobalt Dec 2016),(Citation: Group IB Cobalt Aug 2017),(Citation: RiskIQ Cobalt Jan 2018),(Citation: Proofpoint Cobalt June 2017),(Citation: Crowdstrike GTR2020 Mar 2020),(Citation: PTSecurity Cobalt Group Aug 2017),(Citation: TrendMicro Cobalt Group Nov 2017),(Citation: Secureworks GOLD KINGSWOOD September 2018),(Citation: Talos Cobalt Group July 2018),(Citation: RiskIQ Cobalt Nov 2017),(Citation: Crowdstrike Global Threat Report Feb 2018),(Citation: Morphisec Cobalt Gang Oct 2018),(Citation: PTSecurity Cobalt Dec 2016),(Citation: Unit 42 Cobalt Gang Oct 2018),(Citation: Group IB Cobalt Aug 2017),(Citation: RiskIQ Cobalt Jan 2018),(Citation: Proofpoint Cobalt June 2017),(Citation: Crowdstrike GTR2020 Mar 2020),(Citation: PTSecurity Cobalt Group Aug 2017),(Citation: TrendMicro Cobalt Group Nov 2017),(Citation: Secureworks GOLD KINGSWOOD September 2018),"
G0142,Confucius,"[Confucius](https://attack.mitre.org/groups/G0142) is a cyber espionage group that has primarily targeted military personnel, high-profile personalities, business persons, and government organizations in South Asia since at least 2013. Security researchers have noted similarities between [Confucius](https://attack.mitre.org/groups/G0142) and [Patchwork](https://attack.mitre.org/groups/G0040), particularly in their respective custom malware code and targets.(Citation: TrendMicro Confucius APT Feb 2018)(Citation: TrendMicro Confucius APT Aug 2021)(Citation: Uptycs Confucius APT Jan 2021)",https://attack.mitre.org/groups/G0142,26 December 2021,30 June 2022,1.0,,Confucius APT,,"(Citation: Check Point Warzone Feb 2020),(Citation: Uptycs Confucius APT Jan 2021),(Citation: TrendMicro Confucius APT Aug 2021),(Citation: Uptycs Confucius APT Jan 2021),(Citation: TrendMicro Confucius APT Feb 2018),"
G0052,CopyKittens,"[CopyKittens](https://attack.mitre.org/groups/G0052) is an Iranian cyber espionage group that has been operating since at least 2013. It has targeted countries including Israel, Saudi Arabia, Turkey, the U.S., Jordan, and Germany. The group is responsible for the campaign known as Operation Wilted Tulip.(Citation: ClearSky CopyKittens March 2017)(Citation: ClearSky Wilted Tulip July 2017)(Citation: CopyKittens Nov 2015)",https://attack.mitre.org/groups/G0052,16 January 2018,08 August 2022,1.6,,,,"(Citation: ClearSky Wilted Tulip July 2017),(Citation: ClearSky and Trend Micro Operation Wilted Tulip July 2017),(Citation: CopyKittens Nov 2015),(Citation: ClearSky Wilted Tulip July 2017),(Citation: Microsoft POLONIUM June 2022),"
G0070,Dark Caracal,[Dark Caracal](https://attack.mitre.org/groups/G0070) is threat group that has been attributed to the Lebanese General Directorate of General Security (GDGS) and has operated since at least 2012. (Citation: Lookout Dark Caracal Jan 2018),https://attack.mitre.org/groups/G0070,17 October 2018,11 October 2021,1.3,,,,"(Citation: CheckPoint Bandook Nov 2020),(Citation: Lookout Dark Caracal Jan 2018),(Citation: Lookout Dark Caracal Jan 2018),"
G0079,DarkHydrus,[DarkHydrus](https://attack.mitre.org/groups/G0079) is a threat group that has targeted government agencies and educational institutions in the Middle East since at least 2016. The group heavily leverages open-source tools and custom payloads for carrying out attacks. (Citation: Unit 42 DarkHydrus July 2018) (Citation: Unit 42 Playbook Dec 2017),https://attack.mitre.org/groups/G0079,17 October 2018,12 October 2021,1.3,"Oleg Skulkin, Group-IB",,,"(Citation: Unit42 DarkHydrus Jan 2019),(Citation: Unit 42 DarkHydrus July 2018),(Citation: Unit 42 Playbook Dec 2017),(Citation: Unit 42 Phishery Aug 2018),(Citation: Unit 42 DarkHydrus July 2018),(Citation: Unit 42 Playbook Dec 2017),"
G0105,DarkVishnya,[DarkVishnya](https://attack.mitre.org/groups/G0105) is a financially motivated threat actor targeting financial institutions in Eastern Europe. In 2017-2018 the group attacked at least 8 banks in this region.(Citation: Securelist DarkVishnya Dec 2018),https://attack.mitre.org/groups/G0105,15 May 2020,12 October 2021,1.1,,,,"(Citation: Securelist DarkVishnya Dec 2018),(Citation: Securelist DarkVishnya Dec 2018),"
